CORRECT LIST
['11982', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'O형', '1954****', '*************', '*************', 'naver.com', '불교', '147.220.161.249', '39:ac:a2:c4:c8:72']
['3787', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1967****', '*************', '*************', 'gmail.com', '무교', '193.169.144.68', '63:b5:b0:eb:8b:ea']
['3897', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1967****', '*************', '*************', 'daum.net', '기독교', '233.68.157.119', '6f:68:79:15:e6:62']
['6659', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'yahoo.com', '천주교', '233.23.144.103', '13:6d:db:de:c6:de']
['10857', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'daum.net', '무교', '46.80.177.179', 'b2:02:25:d7:0d:f2']
['19309', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1968****', '*************', '*************', 'yahoo.com', '무교', '132.205.176.108', 'e1:88:c1:ea:f8:2f']
['29666', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1968****', '*************', '*************', 'naver.com', '천주교', '98.199.90.204', '17:36:1a:1f:0f:4b']
['38645', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1968****', '*************', '*************', 'gmail.com', '무교', '135.13.86.115', 'e5:47:1f:ed:b7:fc']
['26918', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'daum.net', '기독교', '241.226.179.248', 'd8:09:89:43:83:4f']
['7007', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'naver.com', '무교', '22.24.227.104', '81:fb:0b:13:1a:79']
['12532', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1968****', '*************', '*************', 'daum.net', '무교', '185.25.177.82', '91:30:1e:9d:45:c8']
['36811', '윤**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'gmail.com', '무교', '139.141.130.198', '8f:0f:e5:13:a9:1c']
['22243', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'yahoo.com', '무교', '69.199.79.78', 'd7:4a:d7:16:85:f1']
['28365', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1968****', '*************', '*************', 'naver.com', '무교', '160.208.121.110', '89:fd:91:dd:a5:4e']
['24723', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'yahoo.com', '무교', '50.118.86.62', '0f:36:8c:6a:57:bd']
['36413', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1968****', '*************', '*************', 'gmail.com', '불교', '194.48.76.117', '50:b4:80:d8:6f:d7']
['39590', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1968****', '*************', '*************', 'yahoo.com', '무교', '48.127.95.89', '07:36:d9:3a:44:7f']
['19069', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1968****', '*************', '*************', 'gmail.com', '기독교', '233.54.137.182', '96:30:ed:f9:fc:eb']
['277', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'B형', '1969****', '*************', '*************', 'gmail.com', '천주교', '209.140.165.245', 'b2:2e:a4:ae:fe:e1']
['10494', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1969****', '*************', '*************', 'naver.com', '무교', '174.83.19.5', 'd3:0b:8d:3f:b8:f4']
['31419', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1969****', '*************', '*************', 'naver.com', '무교', '229.152.231.58', 'd4:97:92:6a:0b:4e']
['2646', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1969****', '*************', '*************', 'yahoo.com', '무교', '239.73.32.150', '6e:4f:7b:4d:52:56']
['11898', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1969****', '*************', '*************', 'daum.net', '무교', '57.113.123.247', '3e:3f:21:87:6f:2d']
['17174', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1970****', '*************', '*************', 'gmail.com', '기독교', '110.154.204.42', '19:4f:b9:49:cf:04']
['39836', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1970****', '*************', '*************', 'yahoo.com', '무교', '153.228.124.162', '09:02:b1:f0:d5:2b']
['2533', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1970****', '*************', '*************', 'daum.net', '불교', '99.163.108.71', '35:aa:f5:9c:c3:d2']
['16652', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1970****', '*************', '*************', 'daum.net', '무교', '250.106.221.91', '68:6d:65:41:40:a1']
['27532', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1970****', '*************', '*************', 'yahoo.com', '무교', '29.251.178.71', 'bb:f4:04:4d:c0:6b']
['35307', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1970****', '*************', '*************', 'naver.com', '무교', '89.55.67.155', 'b5:6d:83:d0:60:cc']
['22982', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1971****', '*************', '*************', 'daum.net', '기독교', '218.71.255.32', '3f:73:0b:67:25:f6']
['31117', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1971****', '*************', '*************', 'gmail.com', '무교', '194.33.41.61', '0e:22:b8:f3:0e:b2']
['10806', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1971****', '*************', '*************', 'yahoo.com', '무교', '50.62.104.30', '67:f7:fe:42:45:8c']
['33308', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1971****', '*************', '*************', 'gmail.com', '무교', '29.172.12.61', 'd5:44:4e:fa:d8:07']
['15578', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1971****', '*************', '*************', 'gmail.com', '무교', '113.97.43.65', 'dd:da:a0:fd:3f:b0']
['20495', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1971****', '*************', '*************', 'yahoo.com', '불교', '43.41.192.10', '87:67:5f:4a:d5:49']
['27387', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1971****', '*************', '*************', 'daum.net', '무교', '238.2.143.172', 'f3:3d:08:a9:50:42']
['28638', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1971****', '*************', '*************', 'gmail.com', '불교', '4.176.111.226', '30:27:88:c8:ce:c7']
['14602', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1972****', '*************', '*************', 'naver.com', '기독교', '223.34.212.175', 'fb:84:85:07:c3:75']
['27503', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1972****', '*************', '*************', 'yahoo.com', '기독교', '72.55.252.253', '1d:a1:0b:09:e4:d8']
['39309', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1972****', '*************', '*************', 'gmail.com', '무교', '137.200.16.156', '54:1a:df:96:d6:5a']
['3948', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1972****', '*************', '*************', 'daum.net', '무교', '141.84.11.51', '3c:fa:cf:9e:46:a1']
['30374', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1972****', '*************', '*************', 'yahoo.com', '무교', '65.151.154.45', 'c3:59:ba:e6:28:8d']
['10762', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1972****', '*************', '*************', 'naver.com', '무교', '229.67.189.178', 'ae:2c:aa:5e:a3:1d']
['10535', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1972****', '*************', '*************', 'yahoo.com', '기독교', '178.120.39.238', 'bb:4e:9f:36:ff:00']
['23516', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1972****', '*************', '*************', 'gmail.com', '기독교', '60.248.64.61', '95:21:c7:67:56:c5']
['32093', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1972****', '*************', '*************', 'daum.net', '무교', '23.133.241.174', 'f9:78:5e:44:9e:d5']
['4943', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1972****', '*************', '*************', 'gmail.com', '무교', '152.190.145.97', 'e7:60:21:69:41:03']
['20756', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1973****', '*************', '*************', 'daum.net', '기독교', '154.211.104.250', '5b:2a:f2:8a:9d:88']
['39904', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1973****', '*************', '*************', 'gmail.com', '무교', '127.84.229.255', 'c4:c5:c8:f0:0e:32']
['31280', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1973****', '*************', '*************', 'daum.net', '무교', '71.242.232.129', '0a:fb:6e:89:66:53']
['3790', '강**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1974****', '*************', '*************', 'naver.com', '무교', '196.99.241.73', 'a3:f9:c4:e6:c2:47']
['6055', '강**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1974****', '*************', '*************', 'daum.net', '무교', '111.200.21.131', 'a1:ad:d1:8e:a1:7d']
['1220', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1974****', '*************', '*************', 'daum.net', '기독교', '201.167.231.164', '82:da:ef:cc:dc:34']
['37053', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1974****', '*************', '*************', 'naver.com', '기독교', '64.124.30.149', '1c:52:5d:58:25:d2']
['712', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1974****', '*************', '*************', 'daum.net', '불교', '181.61.108.203', 'e0:ef:88:fc:2a:64']
['23458', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1974****', '*************', '*************', 'naver.com', '기독교', '175.34.166.221', '9f:18:f8:c1:fb:9c']
['4333', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1974****', '*************', '*************', 'yahoo.com', '불교', '118.113.178.98', 'ef:26:ed:29:68:76']
['33788', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1974****', '*************', '*************', 'naver.com', '기독교', '21.240.52.64', '50:5f:97:29:4a:81']
['36447', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1974****', '*************', '*************', 'daum.net', '불교', '228.221.152.229', '5f:d7:aa:10:b1:6d']
['24200', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1974****', '*************', '*************', 'naver.com', '무교', '245.148.151.160', '26:e0:89:20:6f:53']
['27182', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1974****', '*************', '*************', 'naver.com', '무교', '237.161.85.67', '29:88:7b:89:c3:04']
['32340', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1975****', '*************', '*************', 'yahoo.com', '무교', '5.114.87.212', '41:a3:a7:e0:e5:c8']
['23991', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1975****', '*************', '*************', 'naver.com', '무교', '23.111.115.224', 'ff:54:55:28:84:f9']
['2434', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1975****', '*************', '*************', 'naver.com', '기독교', '175.209.111.56', 'c8:bc:16:45:5a:dc']
['21531', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1975****', '*************', '*************', 'naver.com', '무교', '103.123.177.186', '58:54:ba:a0:a3:20']
['21478', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1976****', '*************', '*************', 'naver.com', '기독교', '231.169.99.190', '22:1c:b7:74:1b:81']
['37944', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1976****', '*************', '*************', 'gmail.com', '불교', '79.76.93.116', '0c:4f:9d:b0:1f:75']
['13567', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1976****', '*************', '*************', 'naver.com', '기독교', '20.10.220.86', '2a:4b:38:47:9e:20']
['24235', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1977****', '*************', '*************', 'yahoo.com', '무교', '137.117.180.234', 'b4:bb:7c:88:f8:b8']
['2273', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1977****', '*************', '*************', 'gmail.com', '무교', '106.170.142.44', 'b7:1b:f4:04:8f:93']
['8487', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1977****', '*************', '*************', 'daum.net', '무교', '200.205.79.9', '04:9d:14:1b:66:ae']
['23433', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1977****', '*************', '*************', 'gmail.com', '무교', '193.151.173.189', 'ab:8d:bd:cf:6d:f3']
['26221', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1977****', '*************', '*************', 'naver.com', '기독교', '5.1.33.131', 'fb:0b:f5:6e:92:8f']
['33664', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1977****', '*************', '*************', 'daum.net', '불교', '111.205.86.232', '6a:e8:43:b4:73:c2']
['18346', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1977****', '*************', '*************', 'yahoo.com', '무교', '241.184.126.132', '9e:ec:62:b5:8e:61']
['24482', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1977****', '*************', '*************', 'gmail.com', '기독교', '93.164.136.23', 'c6:9e:b5:31:47:a5']
['37314', '이**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1977****', '*************', '*************', 'daum.net', '무교', '46.171.142.83', '15:e1:e4:95:c7:b9']
['1708', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1977****', '*************', '*************', 'gmail.com', '무교', '171.246.118.23', '3c:a1:47:68:8c:23']
['4809', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1977****', '*************', '*************', 'naver.com', '불교', '197.170.26.240', '32:85:75:e2:16:16']
['5074', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1977****', '*************', '*************', 'daum.net', '무교', '33.91.33.27', '26:2e:3a:38:c0:d5']
['8876', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1977****', '*************', '*************', 'naver.com', '불교', '24.87.57.203', '7e:ec:94:d4:f9:ad']
['25183', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1977****', '*************', '*************', 'gmail.com', '기독교', '1.4.59.201', '08:01:3c:99:d4:bf']
['20496', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1977****', '*************', '*************', 'naver.com', '무교', '59.195.141.87', 'dc:ad:67:10:38:24']
['6325', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1978****', '*************', '*************', 'yahoo.com', '무교', '135.49.75.45', '4f:59:2e:c4:ea:63']
['19232', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1978****', '*************', '*************', 'yahoo.com', '기독교', '184.34.97.169', 'f7:3a:b4:05:88:b6']
['31505', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1978****', '*************', '*************', 'daum.net', '불교', '29.4.163.250', '74:89:d1:7c:3a:ed']
['19338', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1978****', '*************', '*************', 'daum.net', '기독교', '151.45.9.200', '5a:2f:d6:f7:d7:78']
['11668', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1978****', '*************', '*************', 'gmail.com', '불교', '14.253.50.154', 'd4:c2:da:af:1b:a4']
['17028', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1978****', '*************', '*************', 'gmail.com', '무교', '63.3.164.69', 'b5:5b:5a:2a:a6:88']
['29041', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1978****', '*************', '*************', 'daum.net', '천주교', '134.57.184.156', '84:2a:d5:10:31:82']
['4844', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1979****', '*************', '*************', 'gmail.com', '천주교', '133.152.232.88', '7a:1d:37:12:c7:ff']
['20850', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1979****', '*************', '*************', 'gmail.com', '무교', '129.22.227.171', '09:9b:b0:11:cc:73']
['32376', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1979****', '*************', '*************', 'naver.com', '기독교', '51.209.106.135', '78:e4:b1:95:4a:83']
['39942', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1979****', '*************', '*************', 'naver.com', '무교', '206.104.22.160', 'b1:6e:a3:73:a1:fc']
['7143', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1979****', '*************', '*************', 'naver.com', '불교', '30.213.112.94', '8f:67:12:7c:cf:c8']
['16633', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1979****', '*************', '*************', 'gmail.com', '불교', '192.164.110.95', 'd3:80:2e:5f:5c:31']
['21108', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1979****', '*************', '*************', 'naver.com', '불교', '116.23.18.197', 'f2:75:f6:84:31:12']
['28912', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1979****', '*************', '*************', 'yahoo.com', '무교', '16.59.138.12', 'b0:f1:78:9e:f5:2b']
['30251', '강**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1980****', '*************', '*************', 'yahoo.com', '불교', '240.227.13.172', '08:11:7e:74:02:ad']
['6684', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'O형', '1980****', '*************', '*************', 'daum.net', '불교', '232.121.145.185', '6b:61:f8:11:57:e3']
['15977', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1980****', '*************', '*************', 'naver.com', '기독교', '207.140.44.122', 'cc:09:60:ed:a8:16']
['17926', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1980****', '*************', '*************', 'gmail.com', '무교', '176.214.42.169', '79:c2:e7:ab:c1:58']
['21457', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1980****', '*************', '*************', 'gmail.com', '기독교', '225.120.82.36', '7a:5b:22:4c:80:98']
['27304', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1980****', '*************', '*************', 'naver.com', '불교', '7.11.217.220', '48:41:f8:f7:c4:45']
['32347', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1980****', '*************', '*************', 'gmail.com', '불교', '137.91.30.78', '47:62:55:46:7f:2e']
['37244', '박**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1980****', '*************', '*************', 'daum.net', '불교', '118.209.123.219', '7f:7c:47:49:e9:30']
['16551', '유**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1980****', '*************', '*************', 'daum.net', '무교', '69.69.255.158', '26:89:1f:ba:5a:e6']
['33815', '유**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1980****', '*************', '*************', 'yahoo.com', '기독교', '15.248.150.16', '9c:c0:6b:01:75:a2']
['27811', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1980****', '*************', '*************', 'daum.net', '기독교', '118.84.99.78', '1a:42:27:72:59:5c']
['26701', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1980****', '*************', '*************', 'yahoo.com', '무교', '201.254.205.149', '15:d6:16:b5:2f:43']
['17579', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1981****', '*************', '*************', 'daum.net', '무교', '66.235.244.149', 'c2:69:81:14:44:63']
['37728', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1981****', '*************', '*************', 'yahoo.com', '무교', '191.60.86.154', '32:41:2b:0e:b7:1d']
['3973', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1981****', '*************', '*************', 'naver.com', '무교', '98.112.241.184', '13:a2:e4:f8:d2:cd']
['14530', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1981****', '*************', '*************', 'yahoo.com', '기독교', '94.204.32.57', '5f:8f:66:37:22:c0']
['16729', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1981****', '*************', '*************', 'gmail.com', '기독교', '33.54.228.22', 'c4:35:cd:46:44:10']
['24094', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1981****', '*************', '*************', 'gmail.com', '무교', '153.253.165.81', '9d:84:30:17:29:19']
['33562', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1981****', '*************', '*************', 'gmail.com', '무교', '140.127.146.68', 'cb:80:43:e7:59:82']
['36313', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1981****', '*************', '*************', 'yahoo.com', '천주교', '7.97.13.135', 'c9:d0:83:2f:3b:7c']
['613', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1981****', '*************', '*************', 'gmail.com', '기독교', '153.142.198.59', 'ce:73:be:1f:35:42']
['15071', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1981****', '*************', '*************', 'naver.com', '무교', '181.160.118.121', '9f:bf:54:d3:5f:3e']
['37646', '이**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1981****', '*************', '*************', 'naver.com', '기독교', '140.227.57.78', '5b:06:c3:0c:77:f4']
['10865', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1982****', '*************', '*************', 'yahoo.com', '기독교', '137.134.13.47', '6e:ab:ed:d9:12:b0']
['16880', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1982****', '*************', '*************', 'yahoo.com', '천주교', '190.109.196.190', 'fd:24:ca:92:70:e4']
['22663', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1982****', '*************', '*************', 'yahoo.com', '무교', '193.66.103.113', 'dc:3c:b8:4d:ac:0a']
['33773', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1982****', '*************', '*************', 'yahoo.com', '불교', '102.227.219.84', '79:e7:cb:1b:7f:88']
['25412', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1982****', '*************', '*************', 'yahoo.com', '불교', '243.219.255.45', '7b:33:c3:dd:73:91']
['34594', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1982****', '*************', '*************', 'daum.net', '무교', '32.63.35.221', '4e:aa:5f:d9:f1:c6']
['10977', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1982****', '*************', '*************', 'naver.com', '기독교', '29.207.76.235', '6f:78:3e:49:3b:3a']
['25373', '조**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1982****', '*************', '*************', 'gmail.com', '무교', '248.97.79.110', '64:12:6e:ce:b4:fa']
['2140', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1983****', '*************', '*************', 'daum.net', '불교', '7.197.57.215', '4b:2e:b1:1b:a6:fa']
['4416', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'B형', '1983****', '*************', '*************', 'gmail.com', '천주교', '63.167.41.22', '73:c2:7a:02:ca:69']
['13665', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'O형', '1983****', '*************', '*************', 'yahoo.com', '불교', '208.253.139.18', '3e:00:05:30:14:04']
['32949', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1983****', '*************', '*************', 'yahoo.com', '무교', '102.58.1.79', '48:e6:a8:30:17:27']
['23241', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1983****', '*************', '*************', 'yahoo.com', '불교', '152.113.147.96', 'a7:46:89:b9:d4:d6']
['29207', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1983****', '*************', '*************', 'naver.com', '불교', '126.110.140.224', 'c7:06:21:0f:16:a8']
['30424', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1983****', '*************', '*************', 'yahoo.com', '무교', '165.123.68.30', 'c2:e3:66:47:84:6c']
['35324', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1983****', '*************', '*************', 'gmail.com', '불교', '91.112.103.243', 'ca:6c:97:72:59:26']
['37255', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1983****', '*************', '*************', 'gmail.com', '무교', '199.40.162.108', '9e:f5:07:a0:37:f4']
['9182', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1984****', '*************', '*************', 'yahoo.com', '불교', '170.153.73.252', '0d:aa:b2:5b:bc:62']
['21245', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1984****', '*************', '*************', 'daum.net', '기독교', '179.253.178.94', '25:67:03:d7:d8:e1']
['37109', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1984****', '*************', '*************', 'daum.net', '기독교', '194.164.241.68', 'f8:67:73:b9:96:44']
['12472', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1984****', '*************', '*************', 'yahoo.com', '무교', '80.24.234.2', '72:97:2c:37:e2:38']
['16727', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1984****', '*************', '*************', 'daum.net', '천주교', '208.214.73.179', 'e7:ad:d6:5f:6b:fd']
['19577', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1984****', '*************', '*************', 'daum.net', '무교', '149.208.220.11', '05:f4:7b:46:2d:67']
['30423', '이**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'B형', '1984****', '*************', '*************', 'gmail.com', '천주교', '194.132.24.27', '35:67:63:3c:b4:af']
['26266', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1984****', '*************', '*************', 'gmail.com', '불교', '86.35.126.41', '7d:d3:fe:08:72:1d']
['29932', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1984****', '*************', '*************', 'gmail.com', '기독교', '3.224.206.159', '5e:b1:36:09:75:69']
['33907', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1984****', '*************', '*************', 'naver.com', '기독교', '219.135.152.141', 'a5:5f:e8:65:d1:fe']
['20088', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1985****', '*************', '*************', 'yahoo.com', '기독교', '18.186.108.177', 'ec:18:df:53:7d:b8']
['25154', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1985****', '*************', '*************', 'yahoo.com', '무교', '9.40.115.230', '12:1a:bd:99:ef:39']
