['1', '***', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1995******', '*********', '*************', 'naver.com', '무교']

['3008', '***', '남성', '170.0~180.0', '60.0~70.0', 'O형', '1965******', '*********', '*************', 'yahoo.com', '무교']
=> ['303', '조준협', '남성', '170.3', '69.4', 'O형', '1965-12-07', '1011-9286', 'oc41y5orurwiv', 'yahoo.com', '무교']: 1.4588

['3009', '***', '남성', '170.0~180.0', '60.0~70.0', 'A형', '1983******', '*********', '*************', 'yahoo.com', '무교']
=> ['3009', '박훈지', '남성', '178.1', '69.4', 'A형', '1983-10-01', '3460-6306', 'bw0fb4b', 'yahoo.com', '무교']: 1.514
=> ['57', '김서우', '남성', '177.6', '69.1', 'A형', '1980-02-23', '8499-8929', 'uuawcz4zxu3', 'yahoo.com', '무교']: 1.5124

['3010', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '기독교']
=> ['3', '최종석', '여성', '153.7', '60.0', 'A형', '1967-05-30', '0531-4339', 'uow3y6', 'naver.com', '기독교']: 0.4622

['3011', '***', '남성', '160.0~170.0', '70.0~80.0', 'O형', '1992******', '*********', '*************', 'daum.net', '무교']
=> ['3011', '김종택', '남성', '163.8', '70.9', 'O형', '1992-05-20', '9691-4076', 'vzme6lelzj1ts', 'daum.net', '무교']: 1.4248
=> ['1910', '홍진은', '남성', '164.3', '72.4', 'O형', '1972-01-20', '3411-5936', 'rwo7ne19p', 'daum.net', '무교']: 1.4233

['3012', '***', '남성', '170.0~180.0', '60.0~70.0', 'O형', '1947******', '*********', '*************', 'yahoo.com', '불교']
=> ['2355', '류영영', '남성', '178.9', '65.8', 'O형', '1949-03-24', '4272-5132', 'qvh8ta8j000', 'yahoo.com', '불교']: 1.2273
=> ['3012', '유희서', '남성', '178.0', '62.8', 'O형', '1947-01-20', '3671-6617', 'aq5jusku62w9', 'yahoo.com', '불교']: 1.229

['3013', '***', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1981******', '*********', '*************', 'yahoo.com', '무교']
=> ['243', '김지정', '남성', '168.4', '60.8', 'B형', '1980-04-23', '6401-3285', 'gwtmpqn09e71', 'yahoo.com', '무교']: 1.4491
=> ['1288', '최택성', '남성', '170.1', '66.9', 'B형', '1981-09-21', '2561-8622', 'xz8lt54', 'yahoo.com', '무교']: 1.4509

['3014', '***', '남성', '160.0~170.0', '70.0~80.0', 'A형', '1959******', '*********', '*************', 'daum.net', '무교']
=> ['465', '김남지', '남성', '170.6', '70.1', 'A형', '1953-01-01', '6587-7320', 's5e0w8', 'daum.net', '무교']: 1.4791
=> ['3014', '고진종', '남성', '164.5', '74.3', 'A형', '1959-03-07', '2253-9247', 'qle6tmgpeuxma', 'daum.net', '무교']: 1.4809

['3015', '***', '여성', '150.0~160.0', '50.0~60.0', 'A형', '1979******', '*********', '*************', 'yahoo.com', '천주교']
=> ['687', '이서성', '여성', '154.7', '58.4', 'A형', '1976-07-17', '5125-3980', 'ig59bbj3v', 'yahoo.com', '천주교']: 1.1004
=> ['3015', '성훈협', '여성', '159.7', '52.4', 'A형', '1979-07-22', '1338-6810', 'qm2wdb', 'yahoo.com', '천주교']: 1.1019

['3016', '***', '남성', '170.0~180.0', '60.0~70.0', 'A형', '1987******', '*********', '*************', 'naver.com', '천주교']
=> ['5048', '오성용', '남성', '176.7', '69.9', 'A형', '1977-05-11', '5475-8617', 'jk8prtaal3lj', 'naver.com', '천주교']: 1.1033
=> ['2630', '최훈지', '남성', '170.9', '64.9', 'A형', '1955-07-12', '2317-5965', 'ze7e1utdisl4', 'naver.com', '천주교']: 1.1015
=> ['3016', '홍현훈', '남성', '170.9', '69.7', 'A형', '1987-09-13', '0178-7670', 'ks88we', 'naver.com', '천주교']: 1.1051

['3017', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '무교']
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 0.7204

['3018', '***', '여성', '150.0~160.0', '50.0~60.0', 'A형', '1996******', '*********', '*************', 'daum.net', '무교']
=> ['3018', '박훈지', '여성', '155.8', '58.6', 'A형', '1996-05-13', '5439-9394', 'nkwkbou', 'daum.net', '무교']: 1.4986
=> ['82', '장훈성', '여성', '152.3', '58.9', 'A형', '1946-12-09', '7752-5468', 'v73p3r8qm', 'daum.net', '무교']: 1.4971

['3019', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '불교']
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 0.4953

['3020', '***', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1991******', '*********', '*************', 'daum.net', '불교']
=> ['300', '강지준', '여성', '150.5', '53.5', 'B형', '1971-06-04', '6673-2016', 'q2pnhq4og6', 'daum.net', '불교']: 1.1974
=> ['3020', '임현석', '여성', '157.3', '56.1', 'B형', '1991-05-30', '3643-4134', 'agz78snlb2', 'daum.net', '불교']: 1.1992

['3021', '***', '여성', '150.0~160.0', '50.0~60.0', 'O형', '1965******', '*********', '*************', 'yahoo.com', '무교']
=> ['479', '김상석', '여성', '158.6', '60.1', 'O형', '1969-08-27', '5931-2285', 'e9119j', 'yahoo.com', '무교']: 1.4509
=> ['2159', '유협영', '여성', '160.2', '51.4', 'O형', '1965-09-01', '8936-7067', 'vws8ovx4et', 'yahoo.com', '무교']: 1.4526

['3022', '***', '여성', '150.0~160.0', '60.0~70.0', 'A형', '1987******', '*********', '*************', 'gmail.com', '무교']
=> ['1169', '남종훈', '여성', '160.8', '62.8', 'A형', '1980-10-20', '0425-0363', 'zdd8eqa', 'gmail.com', '무교']: 1.5023
=> ['629', '노지성', '여성', '157.0', '60.8', 'A형', '1987-06-11', '9563-6169', 'fq6h0duhe8rrq', 'gmail.com', '무교']: 1.5041

['3023', '***', '여성', '160.0~170.0', '50.0~60.0', 'A형', '1986******', '*********', '*************', 'gmail.com', '불교']
=> ['919', '박우석', '여성', '160.2', '58.4', 'A형', '1982-01-05', '6131-3842', 'crwf7y', 'gmail.com', '불교']: 1.2696
=> ['3023', '김덕택', '여성', '160.5', '59.5', 'A형', '1986-04-10', '1718-3524', 'f35osaf', 'gmail.com', '불교']: 1.2714

['3024', '***', '남성', '160.0~170.0', '70.0~80.0', 'O형', '1982******', '*********', '*************', 'naver.com', '무교']
=> ['3264', '박준준', '남성', '166.0', '70.9', 'O형', '1984-03-14', '5345-9567', 'zeaaxu', 'naver.com', '무교']: 1.4283
=> ['3024', '안영현', '남성', '163.8', '71.4', 'O형', '1982-03-12', '0474-1284', 'trt6gpqym3', 'naver.com', '무교']: 1.43

['3025', '***', '남성', '160.0~170.0', '70.0~80.0', 'O형', '1989******', '*********', '*************', 'gmail.com', '무교']
=> ['3025', '정서용', '남성', '169.1', '70.2', 'O형', '1989-07-16', '9002-7176', 'gd6w1o5l', 'gmail.com', '무교']: 1.4276
=> ['1861', '김훈협', '남성', '167.6', '73.8', 'O형', '1961-06-16', '8122-3233', 'um1qy71qabd', 'gmail.com', '무교']: 1.4244
=> ['942', '백지상', '남성', '161.2', '73.4', 'O형', '1981-10-23', '4080-4361', 'vz5yak3zrrr7', 'gmail.com', '무교']: 1.426

['3026', '***', '남성', '170.0~180.0', '60.0~70.0', 'AB형', '1981******', '*********', '*************', 'naver.com', '무교']
=> ['3026', '조영용', '남성', '171.0', '68.1', 'AB형', '1981-10-08', '1309-1914', 'pw36rq6w2t3', 'naver.com', '무교']: 1.292
=> ['802', '이상석', '남성', '172.1', '66.7', 'AB형', '1982-07-17', '4491-3736', 'ejr4ne', 'naver.com', '무교']: 1.2903

['3027', '***', '여성', '140.0~150.0', '50.0~60.0', 'O형', '1962******', '*********', '*************', 'naver.com', '불교']
=> ['3027', '문훈성', '여성', '149.9', '53.0', 'O형', '1962-12-28', '2530-5495', 'wleovn8xg18', 'naver.com', '불교']: 1.1939
=> ['4142', '이훈우', '여성', '149.7', '52.0', 'O형', '1982-12-17', '5829-1325', 'rqf8cn2djhl', 'naver.com', '불교']: 1.1922

['3028', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '무교']
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 0.7204

['3029', '***', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1970******', '*********', '*************', 'naver.com', '불교']
=> ['5394', '노훈종', '남성', '170.8', '67.1', 'B형', '1974-03-02', '7296-3451', 'fnc9dv8x4', 'naver.com', '불교']: 1.2149
=> ['2988', '김남희', '남성', '169.8', '60.7', 'B형', '1970-01-27', '5834-4839', 'mctknlro8nd3g', 'naver.com', '불교']: 1.2165

['3030', '***', '여성', '160.0~170.0', '50.0~60.0', 'O형', '1995******', '*********', '*************', 'gmail.com', '기독교']
=> ['3030', '이훈준', '여성', '165.0', '57.9', 'O형', '1995-01-26', '8868-1159', 'aznuv5', 'gmail.com', '기독교']: 1.1825
=> ['326', '송종지', '여성', '162.1', '55.1', 'O형', '1991-04-29', '6280-4620', 'iyhiwiiekktk', 'gmail.com', '기독교']: 1.1808

['3031', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 0.7231

['3032', '***', '남성', '170.0~180.0', '60.0~70.0', 'O형', '1977******', '*********', '*************', 'naver.com', '불교']
=> ['639', '여은용', '남성', '173.1', '66.7', 'O형', '1971-07-16', '2544-1540', 'get7d5zk2', 'naver.com', '불교']: 1.2229
=> ['928', '채현진', '남성', '173.2', '67.9', 'O형', '1977-02-01', '7343-8827', 'eosu2l65ryyr', 'naver.com', '불교']: 1.2245

['3033', '***', '여성', '160.0~170.0', '50.0~60.0', 'AB형', '1970******', '*********', '*************', 'gmail.com', '무교']
=> ['2237', '허성석', '여성', '161.9', '55.0', 'AB형', '1970-04-21', '9048-4599', 'vkgzfob6h3', 'gmail.com', '무교']: 1.2825
=> ['2776', '이협덕', '여성', '163.5', '55.8', 'AB형', '1972-07-22', '6680-9900', 'cqnr9akutoi0', 'gmail.com', '무교']: 1.2808

['3034', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 0.7231

['3035', '***', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1956******', '*********', '*************', 'gmail.com', '무교']
=> ['1353', '정영정', '남성', '170.1', '67.0', 'B형', '1953-05-01', '9780-6486', 'kus0gu0', 'gmail.com', '무교']: 1.4426
=> ['3035', '김현정', '남성', '166.9', '67.1', 'B형', '1956-07-10', '7956-0136', 'tyeadsfhvjp', 'gmail.com', '무교']: 1.4442

['3036', '***', '남성', '160.0~170.0', '60.0~70.0', 'A형', '1950******', '*********', '*************', 'daum.net', '무교']
=> ['348', '한훈지', '남성', '168.0', '65.3', 'A형', '1954-05-21', '4879-7054', 'oglzdpa35y', 'daum.net', '무교']: 1.5097
=> ['701', '이준종', '남성', '167.2', '66.1', 'A형', '1950-07-19', '5287-3622', 'ehc9oq', 'daum.net', '무교']: 1.5111

['3037', '***', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1955******', '*********', '*************', 'naver.com', '기독교']
=> ['1316', '정협진', '여성', '156.7', '58.1', 'B형', '1952-02-05', '1312-4441', 'cl2kxxbpq2', 'naver.com', '기독교']: 1.1688
=> ['3037', '정정남', '여성', '151.9', '50.4', 'B형', '1955-04-07', '5778-7096', 'qvx2xw', 'naver.com', '기독교']: 1.1706

['3038', '***', '여성', '150.0~160.0', '50.0~60.0', 'A형', '1966******', '*********', '*************', 'gmail.com', '불교']
=> ['322', '김협석', '여성', '154.1', '53.6', 'A형', '1964-07-15', '4553-5634', 'wcf5oija', 'gmail.com', '불교']: 1.271
=> ['3038', '정준준', '여성', '159.1', '53.8', 'A형', '1966-12-27', '9449-5930', 'ba04uldcfmky', 'gmail.com', '불교']: 1.2729

['3039', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '기독교']
=> ['18', '채준현', '여성', '159.8', '59.7', 'O형', '1959-05-27', '2509-2076', 'uiinz9ytw4', 'daum.net', '기독교']: 0.4577

['3040', '***', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1995******', '*********', '*************', 'daum.net', '불교']
=> ['371', '최준은', '여성', '155.5', '58.2', 'B형', '1993-09-08', '3919-8641', 'ybzd8856', 'daum.net', '불교']: 1.197
=> ['2023', '배현훈', '여성', '158.0', '51.1', 'B형', '1995-05-21', '3033-0165', 'lbprfvr5na5', 'daum.net', '불교']: 1.1987

['3041', '***', '여성', '150.0~160.0', '60.0~70.0', 'O형', '1969******', '*********', '*************', 'yahoo.com', '기독교']
=> ['3041', '박영진', '여성', '152.0', '63.0', 'O형', '1969-10-25', '0543-6461', 'e0lih3', 'yahoo.com', '기독교']: 1.1907
=> ['793', '이준남', '여성', '160.7', '63.2', 'O형', '1992-10-23', '1201-1985', 't3th28n45vgd7', 'yahoo.com', '기독교']: 1.1877
=> ['2327', '유덕용', '여성', '156.4', '61.6', 'O형', '1967-12-08', '8888-2033', 'wyuxk9w0jnrkj', 'yahoo.com', '기독교']: 1.1892

['3042', '***', '남성', '170.0~180.0', '60.0~70.0', 'O형', '1988******', '*********', '*************', 'daum.net', '무교']
=> ['3042', '한훈상', '남성', '177.7', '64.8', 'O형', '1988-03-11', '5396-0318', 'pl38u8wb6zr', 'daum.net', '무교']: 1.4494
=> ['2789', '정상상', '남성', '171.2', '65.9', 'O형', '1978-08-28', '2523-7795', 'ubw7gvbh6mb7', 'daum.net', '무교']: 1.4479

['3043', '***', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1974******', '*********', '*************', 'gmail.com', '불교']
=> ['188', '류영남', '남성', '164.0', '65.1', 'B형', '1984-09-30', '0751-6893', 'wwjt8ooyq1', 'gmail.com', '불교']: 1.2134
=> ['1176', '이성택', '남성', '166.0', '66.8', 'B형', '1974-01-12', '5064-6902', 'g3vyq4xf', 'gmail.com', '불교']: 1.2152

['3044', '***', '여성', '150.0~160.0', '50.0~60.0', 'A형', '1967******', '*********', '*************', 'naver.com', '무교']
=> ['154', '김준진', '여성', '151.3', '55.0', 'A형', '1965-03-01', '6906-4498', 'mis5bq6j1iinv', 'naver.com', '무교']: 1.5027
=> ['999', '최협진', '여성', '154.7', '57.8', 'A형', '1967-04-26', '6994-1976', 'e4zn9mjb4cb6f', 'naver.com', '무교']: 1.5047

['3045', '***', '여성', '160.0~170.0', '50.0~60.0', 'O형', '1979******', '*********', '*************', 'gmail.com', '불교']
=> ['5554', '김진성', '여성', '160.0', '59.7', 'O형', '1977-09-04', '1632-8886', 'ydissw4z', 'gmail.com', '불교']: 1.2135
=> ['3045', '한지희', '여성', '160.0', '58.1', 'O형', '1979-07-04', '8736-5714', 'w70zcew', 'gmail.com', '불교']: 1.215
=> ['1391', '이희영', '여성', '162.0', '52.3', 'O형', '1988-10-18', '0740-6101', 'zqzyjq3zkbb', 'gmail.com', '불교']: 1.212

['3046', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 0.7249

['3047', '***', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1961******', '*********', '*************', 'gmail.com', '불교']
=> ['989', '송서종', '여성', '158.7', '56.7', 'B형', '1971-11-22', '3487-4315', 'c9boxbjfw', 'gmail.com', '불교']: 1.2001
=> ['3047', '홍희종', '여성', '156.2', '50.4', 'B형', '1961-08-13', '9804-0239', 'pcz7tdetxy', 'gmail.com', '불교']: 1.2018

['3048', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '불교']
=> ['7', '김정덕', '남성', '175.0', '65.8', 'B형', '1966-12-18', '2991-1336', 'pjc9bdg', 'gmail.com', '불교']: 0.4935

['3049', '***', '여성', '160.0~170.0', '50.0~60.0', 'O형', '1975******', '*********', '*************', 'yahoo.com', '기독교']
=> ['1511', '남용석', '여성', '162.5', '55.7', 'O형', '1955-03-09', '5724-3564', 'ero1czf', 'yahoo.com', '기독교']: 1.1876
=> ['368', '강택서', '여성', '163.4', '58.7', 'O형', '1975-09-17', '9232-4050', 'l9of9sku39pf5', 'yahoo.com', '기독교']: 1.1895

['3050', '***', '남성', '170.0~180.0', '60.0~70.0', 'B형', '1981******', '*********', '*************', 'naver.com', '무교']
=> ['3050', '한지진', '남성', '176.6', '68.1', 'B형', '1981-10-07', '1961-6592', 'p3tu4agm3x', 'naver.com', '무교']: 1.4395
=> ['143', '오덕은', '남성', '176.2', '65.2', 'B형', '1984-11-18', '1220-2267', 'dhyggz81sfmq4', 'naver.com', '무교']: 1.4378

['3051', '***', '남성', '170.0~180.0', '60.0~70.0', 'B형', '1985******', '*********', '*************', 'naver.com', '무교']
=> ['3051', '박종종', '남성', '179.4', '60.9', 'B형', '1985-09-07', '5031-5675', 't02wzn4fxe', 'naver.com', '무교']: 1.4377
=> ['143', '오덕은', '남성', '176.2', '65.2', 'B형', '1984-11-18', '1220-2267', 'dhyggz81sfmq4', 'naver.com', '무교']: 1.4364

['3052', '***', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1973******', '*********', '*************', 'daum.net', '불교']
=> ['3052', '황훈덕', '남성', '167.0', '67.2', 'B형', '1973-03-04', '9721-9188', 'yr98t95', 'daum.net', '불교']: 1.2121
=> ['359', '임덕택', '남성', '165.9', '61.5', 'B형', '1970-09-06', '1933-7049', 'ltenfqacpj0a2', 'daum.net', '불교']: 1.2104

['3053', '***', '남성', '170.0~180.0', '60.0~70.0', 'A형', '1966******', '*********', '*************', 'daum.net', '무교']
=> ['1797', '최현훈', '남성', '175.2', '68.1', 'A형', '1966-10-31', '9080-5253', 'elxw4ue8c', 'daum.net', '무교']: 1.506
=> ['422', '원지은', '남성', '173.8', '68.1', 'A형', '1962-04-17', '1803-4496', 'ygjvqj', 'daum.net', '무교']: 1.5041

['3054', '***', '여성', '150.0~160.0', '50.0~60.0', 'A형', '1981******', '*********', '*************', 'daum.net', '무교']
=> ['626', '황훈훈', '여성', '158.5', '58.8', 'A형', '1951-09-29', '2158-7707', 'tx9qm5fnbvn45', 'daum.net', '무교']: 1.4977
=> ['976', '최덕서', '여성', '153.7', '52.8', 'A형', '1981-05-06', '7030-2136', 'c7rq6246lpb0', 'daum.net', '무교']: 1.4995

['3055', '***', '남성', '170.0~180.0', '60.0~70.0', 'A형', '1967******', '*********', '*************', 'gmail.com', '기독교']
=> ['2733', '고협은', '남성', '175.0', '64.6', 'A형', '1967-05-27', '4084-5593', 'ceocj4zjcz49', 'gmail.com', '기독교']: 1.2464

['3056', '***', '여성', '160.0~170.0', '50.0~60.0', 'A형', '1954******', '*********', '*************', 'gmail.com', '무교']
=> ['753', '김석협', '여성', '165.5', '55.7', 'A형', '1956-10-17', '7569-6894', 'f8yko106rqcc6', 'gmail.com', '무교']: 1.4989
=> ['3056', '정은상', '여성', '160.0', '57.8', 'A형', '1954-11-24', '5449-6458', 'a4ycebnxd7o', 'gmail.com', '무교']: 1.5006

['3057', '***', '여성', '150.0~160.0', '50.0~60.0', 'O형', '1962******', '*********', '*************', 'yahoo.com', '불교']
=> ['3057', '이지석', '여성', '153.0', '52.5', 'O형', '1962-05-11', '5744-2668', 'lwyujtxsmq71', 'yahoo.com', '불교']: 1.223
=> ['1053', '안택준', '여성', '160.9', '51.0', 'O형', '1968-07-12', '4591-8910', 'yrmmhp', 'yahoo.com', '불교']: 1.2213

['3058', '***', '남성', '160.0~170.0', '60.0~70.0', 'O형', '1982******', '*********', '*************', 'gmail.com', '불교']
=> ['3058', '이상지', '남성', '168.7', '67.2', 'O형', '1982-01-22', '5456-2156', 'rzkf9iydcr', 'gmail.com', '불교']: 1.2304
=> ['987', '김훈준', '남성', '167.2', '61.0', 'O형', '1987-04-18', '2627-5795', 'h2s9an1e60k7', 'gmail.com', '불교']: 1.2286

['3059', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 0.7249

['3060', '***', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1947******', '*********', '*************', 'naver.com', '무교']
=> ['2695', '박훈종', '남성', '165.4', '67.6', 'B형', '1947-11-19', '1743-8843', 'zpcppl9', 'naver.com', '무교']: 1.446

['3061', '***', '여성', '150.0~160.0', '41.2~50.0', 'O형', '1958******', '*********', '*************', 'yahoo.com', '무교']
=> ['8221', '김용은', '여성', '156.4', '50.7', 'O형', '1952-01-19', '3037-4106', 'ts8mlld', 'yahoo.com', '무교']: 1.4185
=> ['9091', '김훈성', '여성', '155.0', '57.6', 'O형', '1958-10-01', '1153-2649', 'hs35g8gr6', 'yahoo.com', '무교']: 1.4181
=> ['3061', '임택상', '여성', '154.7', '49.5', 'O형', '1958-07-13', '7489-4343', 'minhjvpfycsw', 'yahoo.com', '무교']: 1.4201
=> ['1664', '김석남', '여성', '151.9', '50.4', 'O형', '1971-09-19', '5884-2635', 'klc14vt66iqh6', 'yahoo.com', '무교']: 1.4168

['3062', '***', '남성', '170.0~180.0', '60.0~70.0', 'AB형', '1988******', '*********', '*************', 'gmail.com', '무교']
=> ['1466', '박상남', '남성', '173.7', '66.1', 'AB형', '1988-12-06', '4414-9892', 'jd66uuep', 'gmail.com', '무교']: 1.2893
=> ['1111', '박우종', '남성', '175.9', '62.7', 'AB형', '1983-05-10', '0198-1508', 'c3zieorx16acz', 'gmail.com', '무교']: 1.2878

['3063', '***', '남성', '160.0~170.0', '60.0~70.0', 'O형', '1995******', '*********', '*************', 'yahoo.com', '무교']
=> ['303', '조준협', '남성', '170.3', '69.4', 'O형', '1965-12-07', '1011-9286', 'oc41y5orurwiv', 'yahoo.com', '무교']: 1.464
=> ['3063', '정진종', '남성', '165.3', '64.7', 'O형', '1995-04-09', '4697-3624', 't9qresujew0l', 'yahoo.com', '무교']: 1.4656

['3064', '***', '남성', '160.0~170.0', '60.0~70.0', 'O형', '1995******', '*********', '*************', 'daum.net', '무교']
=> ['2379', '민우협', '남성', '170.0', '68.5', 'O형', '1995-10-10', '6037-0524', 'zivm2o2', 'daum.net', '무교']: 1.4568
=> ['2110', '박준진', '남성', '167.9', '70.1', 'O형', '1996-08-03', '1402-9178', 'cc1phxpe5b', 'daum.net', '무교']: 1.4552

['3065', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '기독교']
=> ['3', '최종석', '여성', '153.7', '60.0', 'A형', '1967-05-30', '0531-4339', 'uow3y6', 'naver.com', '기독교']: 0.4622

['3066', '***', '남성', '160.0~170.0', '70.0~80.0', 'B형', '1994******', '*********', '*************', 'naver.com', '불교']
=> ['3066', '조정종', '남성', '169.5', '74.1', 'B형', '1994-04-07', '5113-7120', 'sq6l5w1', 'naver.com', '불교']: 1.1846
=> ['1104', '윤덕지', '남성', '169.2', '71.4', 'B형', '1958-06-26', '1164-0197', 'v0rhc5s2gg5wb', 'naver.com', '불교']: 1.1814

['3067', '***', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1990******', '*********', '*************', 'naver.com', '기독교']
=> ['3067', '김상훈', '남성', '168.3', '69.0', 'B형', '1990-08-02', '1203-9790', 'a0p43rgx9u', 'naver.com', '기독교']: 1.1834
=> ['796', '박지진', '남성', '162.8', '62.8', 'B형', '1950-02-10', '1536-5773', 'wf7741dt2fz', 'naver.com', '기독교']: 1.1818

['3068', '***', '여성', '160.0~170.0', '50.0~60.0', 'B형', '1968******', '*********', '*************', 'yahoo.com', '기독교']
=> ['3068', '이희진', '여성', '160.4', '55.7', 'B형', '1968-12-07', '5074-5026', 'o8v6skgfyx7', 'yahoo.com', '기독교']: 1.1723
=> ['2824', '이용서', '여성', '160.4', '53.8', 'B형', '1964-03-02', '1242-9766', 'xm7gcqyd15wn6', 'yahoo.com', '기독교']: 1.1709

['3069', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '불교']
=> ['12', '김덕협', '여성', '151.5', '66.0', 'B형', '1978-06-16', '6665-6767', 'c561ct', 'daum.net', '불교']: 0.4908

['3070', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 0.7292

['3071', '***', '남성', '160.0~170.0', '70.0~80.0', 'B형', '1995******', '*********', '*************', 'gmail.com', '불교']
=> ['399', '서영성', '남성', '168.6', '74.7', 'B형', '1993-09-02', '7956-9277', 'czyq4gt84xo3x', 'gmail.com', '불교']: 1.1813
=> ['3071', '장협지', '남성', '168.2', '70.8', 'B형', '1995-12-15', '9623-4138', 'r4zaools1sb6', 'gmail.com', '불교']: 1.1829

['3072', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 0.7231

['3073', '***', '남성', '160.0~170.0', '60.0~70.0', 'A형', '1982******', '*********', '*************', 'gmail.com', '무교']
=> ['983', '박훈진', '남성', '163.0', '65.1', 'A형', '1982-03-02', '6412-1367', 'mah0kw', 'gmail.com', '무교']: 1.5154

['3074', '***', '남성', '170.0~180.0', '60.0~70.0', 'AB형', '1959******', '*********', '*************', 'yahoo.com', '무교']
=> ['3074', '최협협', '남성', '173.2', '64.3', 'AB형', '1959-02-03', '3969-6013', 'phy3e7gswfnm', 'yahoo.com', '무교']: 1.2961
=> ['484', '강정영', '남성', '180.2', '69.3', 'AB형', '1989-04-18', '1283-9225', 'ifez0y59saj8y', 'yahoo.com', '무교']: 1.2944

['3075', '***', '남성', '170.0~180.0', '60.0~70.0', 'A형', '1960******', '*********', '*************', 'daum.net', '무교']
=> ['3075', '이종영', '남성', '176.3', '66.0', 'A형', '1960-02-12', '6411-8165', 'm0523t3w', 'daum.net', '무교']: 1.505
=> ['422', '원지은', '남성', '173.8', '68.1', 'A형', '1962-04-17', '1803-4496', 'ygjvqj', 'daum.net', '무교']: 1.5034

['3076', '***', '남성', '170.0~180.0', '60.0~70.0', 'B형', '1974******', '*********', '*************', 'naver.com', '기독교']
=> ['1033', '김용정', '남성', '175.6', '70.5', 'B형', '1974-05-16', '9957-9264', 'aos60neenh94y', 'naver.com', '기독교']: 1.1768
=> ['175', '강서종', '남성', '172.4', '65.3', 'B형', '1979-06-28', '9256-0312', 'l3skg0zvkmw6', 'naver.com', '기독교']: 1.1751

['3077', '***', '여성', '150.0~160.0', '50.0~60.0', 'O형', '1988******', '*********', '*************', 'daum.net', '무교']
=> ['3077', '이진우', '여성', '154.6', '57.5', 'O형', '1988-01-11', '6683-4010', 'xhui2r0f', 'daum.net', '무교']: 1.4432
=> ['342', '이남지', '여성', '160.7', '55.8', 'O형', '1968-11-26', '0164-4798', 'hw7nhu3jfng', 'daum.net', '무교']: 1.4417

['3078', '***', '남성', '170.0~180.0', '60.0~70.0', 'AB형', '1954******', '*********', '*************', 'yahoo.com', '불교']
=> ['1369', '박지훈', '남성', '171.8', '66.1', 'AB형', '1954-12-25', '8438-0812', 'y9dd6u2', 'yahoo.com', '불교']: 1.0662
