['1', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['6', '이협현', '여성', '147.7', '55.0', 'A형', '1958-12-29', '3400-5887', 'pmgi8qzuw7wm7', 'gmail.com', '기독교']: 1.5396

['1758', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '천주교']
=> ['4', '최준진', '여성', '161.5', '53.3', 'A형', '1952-05-10', '3171-9306', 'd5gl47akoqk6o', 'yahoo.com', '천주교']: 1.6761

['1759', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '기독교']
=> ['3', '최종석', '여성', '153.7', '60.0', 'A형', '1967-05-30', '0531-4339', 'uow3y6', 'naver.com', '기독교']: 1.5378

['1760', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['1761', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['1762', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['1763', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['1764', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['1765', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['1766', '이**', '여성', '150.0~160.0', '50.0~60.0', 'A형', '1996******', '*********', '*************', 'yahoo.com', '무교']
=> ['8265', '이서은', '여성', '149.5', '50.1', 'A형', '1996-12-17', '1525-3639', 'jhiu4rvxis', 'yahoo.com', '무교']: 3.8866
=> ['1766', '이덕영', '여성', '158.4', '52.3', 'A형', '1996-01-28', '8807-5874', 'tc8wguyuc9', 'yahoo.com', '무교']: 3.9694
=> ['1656', '이남서', '여성', '152.6', '54.4', 'A형', '1976-02-25', '8561-8586', 'hytdal7fb', 'yahoo.com', '무교']: 3.8699

['1767', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '불교']
=> ['2', '강훈희', '남성', '174.9', '63.4', 'A형', '1946-10-10', '1715-9263', 'frlfize7ir88', 'yahoo.com', '불교']: 1.5004

['1768', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '불교']
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 1.5047

['1769', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '기독교']
=> ['6', '이협현', '여성', '147.7', '55.0', 'A형', '1958-12-29', '3400-5887', 'pmgi8qzuw7wm7', 'gmail.com', '기독교']: 1.5396

['1770', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '기독교']
=> ['18', '채준현', '여성', '159.8', '59.7', 'O형', '1959-05-27', '2509-2076', 'uiinz9ytw4', 'daum.net', '기독교']: 1.5423

['1771', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '기독교']
=> ['18', '채준현', '여성', '159.8', '59.7', 'O형', '1959-05-27', '2509-2076', 'uiinz9ytw4', 'daum.net', '기독교']: 1.5423

['1772', '박**', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1957******', '*********', '*************', 'naver.com', '무교']
=> ['763', '박희성', '남성', '166.5', '63.4', 'B형', '1957-10-02', '0361-7541', 'jpa89dycfpui', 'naver.com', '무교']: 4.0346
=> ['1973', '박희훈', '남성', '169.1', '66.0', 'B형', '1977-08-06', '9967-9139', 'i12fgl8sas5h0', 'naver.com', '무교']: 3.9349

['1773', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '기독교']
=> ['72', '이희택', '여성', '155.7', '53.4', 'O형', '1963-07-30', '5632-2538', 'yblc84sehc', 'yahoo.com', '기독교']: 1.5335

['1774', '김**', '여성', '160.0~170.0', '50.0~60.0', 'B형', '1960******', '*********', '*************', 'naver.com', '무교']
=> ['5179', '김훈덕', '여성', '158.1', '55.9', 'B형', '1960-11-25', '7286-0365', 'jbsyv1nmth', 'naver.com', '무교']: 3.9051
=> ['1774', '김영훈', '여성', '162.3', '55.4', 'B형', '1960-12-01', '3788-6519', 'bmpcu0', 'naver.com', '무교']: 3.9913
=> ['1062', '김우현', '여성', '150.8', '55.6', 'B형', '1966-10-23', '4167-3569', 'v323746', 'naver.com', '무교']: 3.8055

['1775', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['1776', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '불교']
=> ['12', '김덕협', '여성', '151.5', '66.0', 'B형', '1978-06-16', '6665-6767', 'c561ct', 'daum.net', '불교']: 1.5092

['1777', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '불교']
=> ['2', '강훈희', '남성', '174.9', '63.4', 'A형', '1946-10-10', '1715-9263', 'frlfize7ir88', 'yahoo.com', '불교']: 1.5004

['1778', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '불교']
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 1.5047

['1779', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '기독교']
=> ['72', '이희택', '여성', '155.7', '53.4', 'O형', '1963-07-30', '5632-2538', 'yblc84sehc', 'yahoo.com', '기독교']: 1.5335

['1780', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['1781', '김**', '여성', '150.0~160.0', '50.0~60.0', 'A형', '1960******', '*********', '*************', 'daum.net', '기독교']
=> ['1781', '김훈남', '여성', '155.3', '57.5', 'A형', '1960-07-09', '0804-9392', 'xemzf2mgva6g', 'daum.net', '기독교']: 4.224
=> ['9286', '김영용', '여성', '159.6', '52.6', 'A형', '1970-11-25', '7493-0791', 'pyxym72zquw', 'daum.net', '기독교']: 4.1244
=> ['8391', '김용남', '여성', '160.8', '48.5', 'A형', '1961-07-01', '5605-3438', 'za5rigq', 'daum.net', '기독교']: 4.0426

['1782', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '기독교']
=> ['18', '채준현', '여성', '159.8', '59.7', 'O형', '1959-05-27', '2509-2076', 'uiinz9ytw4', 'daum.net', '기독교']: 1.5423

['1783', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '기독교']
=> ['6', '이협현', '여성', '147.7', '55.0', 'A형', '1958-12-29', '3400-5887', 'pmgi8qzuw7wm7', 'gmail.com', '기독교']: 1.5396

['1784', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['1785', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '불교']
=> ['2', '강훈희', '남성', '174.9', '63.4', 'A형', '1946-10-10', '1715-9263', 'frlfize7ir88', 'yahoo.com', '불교']: 1.5004

['1786', '김**', '남성', '170.0~180.0', '60.0~70.0', 'O형', '1954******', '*********', '*************', 'gmail.com', '무교']
=> ['1786', '김희서', '남성', '173.0', '67.6', 'O형', '1954-01-27', '3823-1645', 'c0xjpr8nl', 'gmail.com', '무교']: 3.9983
=> ['4715', '김희협', '남성', '175.6', '61.1', 'O형', '1974-02-01', '7861-2011', 'aik6di5gobc', 'gmail.com', '무교']: 3.8987

['1787', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '불교']
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 1.5047

['1788', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '천주교']
=> ['4', '최준진', '여성', '161.5', '53.3', 'A형', '1952-05-10', '3171-9306', 'd5gl47akoqk6o', 'yahoo.com', '천주교']: 1.6761

['1789', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '무교']
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 1.2796

['1790', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['1791', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '기독교']
=> ['6', '이협현', '여성', '147.7', '55.0', 'A형', '1958-12-29', '3400-5887', 'pmgi8qzuw7wm7', 'gmail.com', '기독교']: 1.5396

['1792', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '기독교']
=> ['3', '최종석', '여성', '153.7', '60.0', 'A형', '1967-05-30', '0531-4339', 'uow3y6', 'naver.com', '기독교']: 1.5378

['1793', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '무교']
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 1.2796

['1794', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '기독교']
=> ['3', '최종석', '여성', '153.7', '60.0', 'A형', '1967-05-30', '0531-4339', 'uow3y6', 'naver.com', '기독교']: 1.5378

['1795', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '불교']
=> ['2', '강훈희', '남성', '174.9', '63.4', 'A형', '1946-10-10', '1715-9263', 'frlfize7ir88', 'yahoo.com', '불교']: 1.5004

['1796', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['1797', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '무교']
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 1.2796

['1798', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '무교']
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 1.2796

['1799', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['1800', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '기독교']
=> ['3', '최종석', '여성', '153.7', '60.0', 'A형', '1967-05-30', '0531-4339', 'uow3y6', 'naver.com', '기독교']: 1.5378

['1801', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '천주교']
=> ['40', '채용덕', '여성', '159.5', '53.1', 'A형', '1995-09-07', '7281-0768', 'qlsrpc', 'daum.net', '천주교']: 1.6849

['1802', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '불교']
=> ['12', '김덕협', '여성', '151.5', '66.0', 'B형', '1978-06-16', '6665-6767', 'c561ct', 'daum.net', '불교']: 1.5092

['1803', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '기독교']
=> ['3', '최종석', '여성', '153.7', '60.0', 'A형', '1967-05-30', '0531-4339', 'uow3y6', 'naver.com', '기독교']: 1.5378

['1804', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '불교']
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 1.5047

['1805', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['1806', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '기독교']
=> ['3', '최종석', '여성', '153.7', '60.0', 'A형', '1967-05-30', '0531-4339', 'uow3y6', 'naver.com', '기독교']: 1.5378

['1807', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['1808', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '불교']
=> ['2', '강훈희', '남성', '174.9', '63.4', 'A형', '1946-10-10', '1715-9263', 'frlfize7ir88', 'yahoo.com', '불교']: 1.5004

['1809', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['1810', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '기독교']
=> ['3', '최종석', '여성', '153.7', '60.0', 'A형', '1967-05-30', '0531-4339', 'uow3y6', 'naver.com', '기독교']: 1.5378

['1811', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '기독교']
=> ['6', '이협현', '여성', '147.7', '55.0', 'A형', '1958-12-29', '3400-5887', 'pmgi8qzuw7wm7', 'gmail.com', '기독교']: 1.5396

['1812', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '기독교']
=> ['18', '채준현', '여성', '159.8', '59.7', 'O형', '1959-05-27', '2509-2076', 'uiinz9ytw4', 'daum.net', '기독교']: 1.5423

['1813', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['1814', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['1815', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '무교']
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 1.2796

['1816', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['1817', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '불교']
=> ['7', '김정덕', '남성', '175.0', '65.8', 'B형', '1966-12-18', '2991-1336', 'pjc9bdg', 'gmail.com', '불교']: 1.5065

['1818', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['1819', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['1820', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['1821', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '불교']
=> ['12', '김덕협', '여성', '151.5', '66.0', 'B형', '1978-06-16', '6665-6767', 'c561ct', 'daum.net', '불교']: 1.5092

['1822', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['1823', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '무교']
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 1.2796

['1824', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '천주교']
=> ['4', '최준진', '여성', '161.5', '53.3', 'A형', '1952-05-10', '3171-9306', 'd5gl47akoqk6o', 'yahoo.com', '천주교']: 1.6761

['1825', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['1826', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['1827', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['1828', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '무교']
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 1.2796

['1829', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '기독교']
=> ['72', '이희택', '여성', '155.7', '53.4', 'O형', '1963-07-30', '5632-2538', 'yblc84sehc', 'yahoo.com', '기독교']: 1.5335

['1830', '이**', '남성', '160.0~170.0', '60.0~70.0', 'A형', '1966******', '*********', '*************', 'daum.net', '무교']
=> ['1830', '이정희', '남성', '165.3', '66.7', 'A형', '1966-07-26', '2922-9400', 'n3oh3kz9', 'daum.net', '무교']: 3.9948
=> ['3744', '이훈준', '남성', '166.8', '66.8', 'A형', '1968-03-25', '8155-4737', 'hlc661gms9', 'daum.net', '무교']: 3.8954

['1831', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['1832', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '불교']
=> ['2', '강훈희', '남성', '174.9', '63.4', 'A형', '1946-10-10', '1715-9263', 'frlfize7ir88', 'yahoo.com', '불교']: 1.5004

['1833', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '불교']
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 1.5047

['1834', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '기독교']
=> ['72', '이희택', '여성', '155.7', '53.4', 'O형', '1963-07-30', '5632-2538', 'yblc84sehc', 'yahoo.com', '기독교']: 1.5335

['1835', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '불교']
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 1.5047

['1836', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '기독교']
=> ['18', '채준현', '여성', '159.8', '59.7', 'O형', '1959-05-27', '2509-2076', 'uiinz9ytw4', 'daum.net', '기독교']: 1.5423

['1837', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['1838', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '무교']
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 1.2796

['1839', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '천주교']
=> ['61', '김석지', '남성', '167.5', '69.9', 'B형', '1968-11-13', '4637-4299', 'ko9ngcku5a5gv', 'naver.com', '천주교']: 1.6804

['1840', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '무교']
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 1.2796

['1841', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '기독교']
=> ['6', '이협현', '여성', '147.7', '55.0', 'A형', '1958-12-29', '3400-5887', 'pmgi8qzuw7wm7', 'gmail.com', '기독교']: 1.5396

['1842', '김**', '남성', '160.0~170.0', '60.0~70.0', 'O형', '1975******', '*********', '*************', 'naver.com', '천주교']
=> ['1842', '김훈택', '남성', '164.2', '67.5', 'O형', '1975-10-07', '8946-3274', 'ay6hbjqlqpt01', 'naver.com', '천주교']: 4.401
=> ['980', '김훈훈', '남성', '159.8', '67.9', 'O형', '1974-04-28', '0835-4600', 'bnvl7j19wmafv', 'naver.com', '천주교']: 4.2153
=> ['5154', '김훈훈', '남성', '164.8', '64.9', 'O형', '1967-12-22', '1905-9533', 'ydmvaxt954q', 'naver.com', '천주교']: 4.2019

['1843', '박**', '여성', '160.0~170.0', '50.0~60.0', 'B형', '1987******', '*********', '*************', 'gmail.com', '무교']
=> ['1843', '박택용', '여성', '164.0', '55.5', 'B형', '1987-06-19', '3046-0488', 'btkzm6433', 'gmail.com', '무교']: 4.0222
=> ['1371', '박준상', '여성', '155.3', '53.0', 'B형', '1967-05-19', '5148-4647', 'yxclr1zje0qo', 'gmail.com', '무교']: 3.8365
=> ['6062', '박준정', '여성', '163.3', '52.6', 'B형', '1972-06-01', '8063-9196', 'fcgaiahpwy', 'gmail.com', '무교']: 3.8231

['1844', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '기독교']
=> ['3', '최종석', '여성', '153.7', '60.0', 'A형', '1967-05-30', '0531-4339', 'uow3y6', 'naver.com', '기독교']: 1.5378

['1845', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['1846', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['1847', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['1848', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '기독교']
=> ['18', '채준현', '여성', '159.8', '59.7', 'O형', '1959-05-27', '2509-2076', 'uiinz9ytw4', 'daum.net', '기독교']: 1.5423

['1849', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '불교']
=> ['2', '강훈희', '남성', '174.9', '63.4', 'A형', '1946-10-10', '1715-9263', 'frlfize7ir88', 'yahoo.com', '불교']: 1.5004

['1850', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '불교']
=> ['7', '김정덕', '남성', '175.0', '65.8', 'B형', '1966-12-18', '2991-1336', 'pjc9bdg', 'gmail.com', '불교']: 1.5065

['1851', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '기독교']
=> ['72', '이희택', '여성', '155.7', '53.4', 'O형', '1963-07-30', '5632-2538', 'yblc84sehc', 'yahoo.com', '기독교']: 1.5335

['1852', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['1853', '김**', '여성', '160.0~170.0', '50.0~60.0', 'O형', '1946******', '*********', '*************', 'daum.net', '불교']
=> ['3433', '김상지', '여성', '155.6', '55.4', 'O형', '1949-07-12', '4014-2672', 'o01s12r', 'daum.net', '불교']: 4.0309
=> ['5893', '김희훈', '여성', '152.5', '57.0', 'O형', '1946-09-05', '3563-8703', 'ja0x6zqa', 'daum.net', '불교']: 4.1306
=> ['1853', '김희용', '여성', '166.4', '51.1', 'O형', '1946-12-31', '9142-5529', 'zuz2sh2cssf', 'daum.net', '불교']: 4.2167
=> ['734', '김협훈', '여성', '161.6', '55.1', 'O형', '1966-10-15', '3986-2077', 'p3ly64ln8pc8r', 'daum.net', '불교']: 4.1171

['1854', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '천주교']
=> ['4', '최준진', '여성', '161.5', '53.3', 'A형', '1952-05-10', '3171-9306', 'd5gl47akoqk6o', 'yahoo.com', '천주교']: 1.6761

['1855', '이**', '여성', '150.0~160.0', '50.0~60.0', 'A형', '1958******', '*********', '*************', 'naver.com', '불교']
=> ['313', '이택협', '여성', '151.0', '57.8', 'A형', '1956-11-23', '2932-7245', 'f53mltm9se5', 'naver.com', '불교']: 4.1039
=> ['1855', '이진영', '여성', '157.8', '52.4', 'A형', '1958-06-08', '0412-6177', 'kt2bz6', 'naver.com', '불교']: 4.2035

['1856', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '기독교']
=> ['18', '채준현', '여성', '159.8', '59.7', 'O형', '1959-05-27', '2509-2076', 'uiinz9ytw4', 'daum.net', '기독교']: 1.5423

['1857', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['1858', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '불교']
=> ['7', '김정덕', '남성', '175.0', '65.8', 'B형', '1966-12-18', '2991-1336', 'pjc9bdg', 'gmail.com', '불교']: 1.5065

['1859', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['1860', '김**', '여성', '150.0~160.0', '50.0~60.0', 'A형', '1993******', '*********', '*************', 'naver.com', '무교']
=> ['787', '김지은', '여성', '154.3', '57.3', 'A형', '1994-02-07', '3746-8868', 'wdxo8rlgg', 'naver.com', '무교']: 3.8577
=> ['1860', '김훈협', '여성', '154.6', '50.8', 'A형', '1993-09-10', '2791-6209', 'zzoje975cfw7', 'naver.com', '무교']: 3.9574

['1861', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

