No,이름,성별,신장,체중,혈액형,생일,이메일도메인,종교관
397,허은준,남,165.6,63.6,B형,1996-04-18,naver.com,불교
398,남우준,여,161.6,52.9,A형,1975-07-15,yahoo.com,무교
399,설은준,여,148.8,58.9,A형,1979-01-04,gmail.com,기독교
400,나훈준,여,155.7,56.1,AB형,1951-09-02,naver.com,무교
401,고상석,여,154.5,53.9,AB형,1992-12-30,gmail.com,무교
402,강택성,여,147.9,57.8,O형,1981-02-09,daum.net,무교
403,사성준,여,146.6,52.1,O형,1955-01-28,yahoo.com,기독교
404,허상협,여,156.1,59.9,B형,1972-06-11,gmail.com,천주교
405,남진훈,남,173.5,74.8,B형,1987-12-10,yahoo.com,무교
406,조정석,여,162.1,61,O형,1985-09-07,yahoo.com,기독교
407,조석택,남,176.9,60.6,O형,1985-08-10,yahoo.com,불교
408,강지종,남,165.8,76.1,A형,1989-07-13,yahoo.com,무교
409,조영석,여,153.1,51.1,O형,1947-06-29,daum.net,무교
410,이준덕,남,172.9,61.4,B형,1981-05-16,gmail.com,불교
411,임용진,여,156.4,50.8,A형,1992-08-06,naver.com,무교
412,양서남,남,174.5,66.6,AB형,1966-03-25,naver.com,무교
413,김택상,여,148.6,54.5,A형,1947-06-27,gmail.com,무교
414,황서남,여,154,53.3,AB형,1960-04-02,yahoo.com,무교
415,조준용,여,152.2,55.8,A형,1956-06-10,gmail.com,무교
416,이은용,남,172.6,66.5,B형,1993-01-08,naver.com,불교
417,지영덕,남,173,67.2,A형,1967-07-10,naver.com,불교
418,이덕택,남,168.1,57,AB형,1983-01-26,daum.net,무교
419,장석용,남,165.8,61.8,B형,1963-04-14,daum.net,무교
420,최지준,남,177.8,61.7,O형,1946-11-18,gmail.com,무교
421,최훈준,여,162.3,50,O형,1973-08-28,daum.net,무교
422,김영정,남,183.1,64.8,A형,1962-06-15,gmail.com,무교
423,고준석,남,167.1,64.3,B형,1953-05-18,gmail.com,무교
424,배준용,남,167.2,60.9,AB형,1957-04-07,gmail.com,기독교
425,윤준협,여,150.5,54.2,AB형,1956-06-12,gmail.com,무교
426,성훈영,남,169.6,63.3,A형,1946-09-06,gmail.com,불교
427,장지준,여,153.9,53.5,O형,1971-09-03,naver.com,무교
428,이종은,남,164.5,64.4,O형,1963-07-15,yahoo.com,기독교
429,박은현,여,152.6,55.5,A형,1950-06-13,yahoo.com,불교
430,이준희,여,163.7,57.2,A형,1959-08-18,gmail.com,무교
431,배지상,남,165.3,66.3,AB형,1988-02-12,gmail.com,무교
432,최준현,남,168.8,74.3,A형,1988-04-19,gmail.com,무교
433,조용지,여,149.5,51.2,A형,1954-10-08,daum.net,무교
434,김진상,남,168,64.2,O형,1981-08-14,naver.com,불교
435,박협지,여,147.6,57.3,O형,1958-01-23,naver.com,기독교
436,조훈정,남,176.8,68.2,B형,1950-05-06,gmail.com,무교
437,문남희,여,152.9,54,A형,1993-01-20,daum.net,기독교
438,신덕훈,여,154.5,52.5,B형,1965-09-23,naver.com,무교
439,이상석,여,161.2,55.9,A형,1980-09-04,gmail.com,불교
440,신성은,남,163.7,62.2,O형,1960-09-14,gmail.com,무교
441,윤준진,여,158.9,49,A형,1990-12-19,yahoo.com,불교
442,황상택,여,149.2,47.4,A형,1987-06-03,daum.net,무교
443,박진영,여,152.4,58.7,A형,1946-01-28,naver.com,기독교
444,신상지,남,164.4,55.9,B형,1966-01-30,gmail.com,무교
445,이희정,남,175.9,62.9,A형,1960-06-27,daum.net,무교
446,이석준,남,167.7,66.5,B형,1964-06-23,daum.net,무교
447,박현진,남,173,65,B형,1990-03-16,gmail.com,기독교
448,최현지,남,172.7,69.3,O형,1971-07-30,gmail.com,불교
449,박성현,여,151,51.6,O형,1996-07-13,gmail.com,천주교
450,한협상,남,172.5,65.5,A형,1960-06-06,naver.com,기독교
451,이상현,남,174.6,61.5,A형,1954-03-24,yahoo.com,무교
452,김성남,남,174.6,64,A형,1995-11-29,daum.net,무교
453,정진현,남,170.9,70.1,B형,1994-07-20,yahoo.com,불교
454,김종현,여,163.9,61.1,AB형,1977-04-04,naver.com,무교
455,이진준,여,150.1,51.7,A형,1985-05-16,daum.net,불교
456,김남협,여,155.9,51.2,O형,1982-12-02,gmail.com,무교
457,박현지,여,152.9,47.1,B형,1947-05-11,yahoo.com,불교
458,김은정,여,160.7,50.4,A형,1995-11-08,yahoo.com,기독교
459,박훈서,여,156.9,54.9,AB형,1988-07-06,yahoo.com,무교
460,남용훈,남,172.8,69.5,A형,1972-09-14,gmail.com,무교
461,안성서,남,173.3,68.8,A형,1953-04-25,yahoo.com,불교
462,최준서,여,156.3,59.3,O형,1947-02-11,yahoo.com,불교
463,최상훈,여,160.9,56.1,B형,1958-04-05,daum.net,기독교
464,고준훈,여,155.2,59.7,A형,1958-11-06,gmail.com,기독교
465,이준용,여,158.1,56.8,B형,1962-12-07,gmail.com,무교
466,박종정,남,175,60.6,AB형,1980-11-12,naver.com,기독교
467,박지용,남,166.3,63.9,B형,1968-12-09,gmail.com,불교
468,황석우,남,166.8,62.1,A형,1988-09-15,daum.net,불교
469,서훈현,남,152.5,61.9,B형,1970-11-18,yahoo.com,무교
470,김훈영,남,171.5,60.9,O형,1990-11-08,daum.net,무교
471,이덕협,남,169,65.8,B형,1986-09-21,naver.com,무교
472,김은석,남,156.1,61.7,O형,1947-01-20,naver.com,무교
473,성진훈,남,171.1,75.3,B형,1965-03-14,naver.com,무교
474,채택준,남,175.6,65.7,O형,1949-12-24,gmail.com,불교
475,김희종,여,155.6,55.9,A형,1991-07-30,daum.net,기독교
476,김지현,남,170.5,73.2,O형,1957-10-05,daum.net,무교
477,서석종,여,156.2,51.7,AB형,1981-11-22,naver.com,불교
478,김상영,여,150.6,60.9,B형,1996-09-29,yahoo.com,무교
479,강희용,여,166.2,54.6,B형,1993-10-12,naver.com,기독교
480,남궁희,남,166.8,69.2,O형,1988-11-16,naver.com,무교
481,박진서,여,153.8,52.6,A형,1958-11-10,gmail.com,불교
482,윤성택,남,174.5,65.6,A형,1955-07-11,daum.net,불교
483,박용상,여,159.8,55.4,A형,1994-08-11,yahoo.com,천주교
484,엄종서,여,144,44.7,O형,1946-09-13,daum.net,기독교
485,윤훈남,남,176.8,65.4,AB형,1955-01-07,gmail.com,천주교
486,김우남,남,167.9,61.2,O형,1959-04-28,daum.net,무교
487,천상남,남,166.5,65,B형,1975-06-06,daum.net,무교
488,김상준,남,165.2,73.3,O형,1975-03-23,yahoo.com,불교
489,염지종,남,175.9,68.5,A형,1956-08-03,gmail.com,기독교
490,황서협,남,178.2,67.6,O형,1967-06-14,yahoo.com,무교
491,황우은,여,159.4,54.5,O형,1988-10-18,daum.net,기독교
492,최은영,여,156.5,59.1,B형,1982-02-21,gmail.com,불교
493,임덕협,여,161.8,56.6,A형,1977-11-12,gmail.com,기독교
494,정훈협,남,173.9,71.2,A형,1950-01-11,gmail.com,불교
495,한지희,남,162.2,67.1,A형,1966-12-20,gmail.com,무교
496,김희진,여,153.9,56.2,O형,1990-05-16,gmail.com,무교
497,권지훈,남,182.8,65.7,O형,1969-06-06,yahoo.com,무교
498,오지영,남,172,70.3,A형,1974-01-16,gmail.com,무교
499,송영택,여,160.1,55.1,AB형,1987-06-12,yahoo.com,기독교
500,정현진,여,154.8,59.3,B형,1986-07-11,gmail.com,불교
501,최지희,여,155.8,56.5,O형,1965-08-03,yahoo.com,무교
502,남준협,여,150.6,52.2,B형,1954-09-02,naver.com,무교
503,이훈협,남,172.5,64.7,A형,1948-09-06,gmail.com,기독교
504,김지남,여,154.2,53.4,B형,1967-01-29,daum.net,기독교
505,인협훈,여,158.6,57.3,O형,1980-09-18,naver.com,불교
506,김남현,여,152.2,51.7,A형,1960-03-02,naver.com,무교
507,양현훈,여,147.4,57.7,A형,1958-11-20,gmail.com,무교
508,김현정,남,158.2,67.1,B형,1995-07-05,daum.net,기독교
509,지우현,남,178.6,60.5,A형,1964-02-01,gmail.com,천주교
510,손상준,남,162.7,66.1,AB형,1953-05-11,naver.com,무교
511,이준성,여,157,55.7,B형,1993-07-17,daum.net,무교
512,차남우,남,164.3,69.9,B형,1995-12-13,gmail.com,무교
513,조정택,남,176.3,75.5,B형,1971-04-14,gmail.com,천주교
514,최정희,남,172.5,57.2,O형,1959-01-29,gmail.com,무교
515,김준희,여,151.6,57.9,A형,1949-05-20,daum.net,무교
516,박현종,여,154.9,51.6,A형,1995-03-17,naver.com,무교
517,전성우,여,156.5,60.3,B형,1995-08-29,naver.com,불교
518,변상덕,여,141.2,49.3,B형,1962-11-02,naver.com,불교
519,김용성,남,176.6,63.1,O형,1971-04-11,daum.net,불교
520,조택성,남,165,71.6,B형,1959-02-09,naver.com,기독교
521,김지훈,남,177.5,64.4,B형,1976-08-15,naver.com,기독교
522,백지은,남,168.5,65.6,A형,1992-09-01,gmail.com,무교
523,김상정,여,158.3,58.5,B형,1956-07-18,naver.com,불교
524,구서훈,남,167.7,76.5,A형,1988-05-30,gmail.com,기독교
525,김우희,남,162.3,70.8,O형,1957-02-23,daum.net,무교
526,이영성,남,167.1,65.3,A형,1962-03-05,gmail.com,무교
527,김훈성,여,149.2,61.8,A형,1967-01-09,naver.com,기독교
528,이훈준,여,157.9,63.2,O형,1948-07-12,gmail.com,무교
529,이지영,여,166,56.5,O형,1960-08-08,yahoo.com,기독교
530,주택용,여,159.1,57.9,B형,1977-11-02,naver.com,천주교
531,김영종,남,176.2,62.5,B형,1967-01-20,naver.com,불교
532,도서남,여,151.6,53.8,O형,1971-02-22,yahoo.com,불교
533,홍상훈,여,162.8,53.2,AB형,1964-09-24,gmail.com,기독교
534,서지준,남,171,65.2,O형,1984-10-15,gmail.com,무교
535,이희훈,남,175.8,66.7,O형,1966-09-10,daum.net,천주교
536,김서우,남,172.4,57.8,O형,1985-08-02,yahoo.com,불교
537,이서협,여,156.4,62.6,A형,1973-09-23,daum.net,불교
538,박희지,여,153.4,60.9,O형,1991-11-21,yahoo.com,무교
539,김현희,여,147,52.3,A형,1995-09-18,naver.com,무교
540,박진택,여,159.5,53.1,A형,1991-05-25,naver.com,무교
541,김석성,여,160.8,55.9,O형,1975-10-04,gmail.com,불교
542,김우택,남,172.6,65.2,B형,1960-06-16,daum.net,불교
543,박준종,남,169,70.3,B형,1957-11-25,yahoo.com,무교
544,황정종,남,179.4,69.5,B형,1951-07-25,daum.net,불교
545,변종남,남,173,68.8,B형,1975-11-02,daum.net,기독교
546,장석지,여,156.9,60.9,B형,1984-01-07,gmail.com,무교
547,윤지남,여,147.8,61.6,A형,1950-01-15,yahoo.com,무교
548,소협훈,남,162.9,69.2,B형,1958-11-02,yahoo.com,불교
549,박훈용,남,165.7,66.3,B형,1960-08-23,daum.net,무교
550,김준지,여,140.7,58.3,O형,1987-08-01,daum.net,무교
551,이우훈,남,165.3,66.7,AB형,1991-03-13,daum.net,무교
552,최훈상,남,174.9,64.5,O형,1947-03-11,yahoo.com,천주교
553,박훈영,여,163.2,56.4,AB형,1953-10-28,naver.com,무교
554,정남영,여,158.6,56.3,A형,1960-01-01,yahoo.com,불교
555,배훈택,남,172.7,66.4,O형,1974-04-02,gmail.com,무교
556,박정훈,남,169.4,72.3,A형,1977-11-29,gmail.com,무교
557,김용덕,여,152.6,54.2,AB형,1996-06-15,gmail.com,무교
558,조서지,여,149,62.8,A형,1949-01-25,naver.com,무교
559,박준우,남,178.1,68.8,A형,1971-11-18,naver.com,무교
560,김정서,남,165.3,70.2,A형,1964-08-20,naver.com,불교
561,이현우,남,171,68,A형,1969-06-01,yahoo.com,천주교
562,송진훈,남,172.4,64.2,B형,1976-12-28,gmail.com,불교
563,오훈석,여,148.3,59.2,O형,1957-06-14,yahoo.com,기독교
564,이종훈,여,160,57.8,O형,1988-09-09,yahoo.com,기독교
565,황지우,남,169.2,70.2,B형,1994-10-18,daum.net,기독교
566,민준종,남,161.2,64.1,AB형,1954-10-04,gmail.com,기독교
567,김택석,여,164.7,52.8,O형,1962-01-22,gmail.com,기독교
568,안택지,여,145.9,53.1,B형,1972-01-14,naver.com,불교
569,이훈진,여,158.4,54,O형,1986-08-02,naver.com,천주교
570,김종정,여,165.3,58.6,B형,1992-07-18,yahoo.com,기독교
571,김지은,남,158.8,65.4,O형,1972-06-13,yahoo.com,기독교
572,이용협,여,145.3,64.3,AB형,1979-05-28,daum.net,기독교
573,장성진,여,152.2,57.3,AB형,1969-02-03,naver.com,기독교
574,신종상,여,156.7,52.8,B형,1967-02-25,daum.net,기독교
575,금지석,여,149.5,51.8,B형,1982-11-04,yahoo.com,불교
576,김상석,여,157.5,56.8,A형,1971-09-19,naver.com,무교
577,임준서,남,169.8,64.1,A형,1984-10-21,yahoo.com,불교
578,김택영,여,158.8,48.8,A형,1958-03-21,yahoo.com,불교
579,김상용,여,152,54.3,O형,1996-09-29,yahoo.com,기독교
580,박준우,여,168.5,56.1,A형,1947-08-30,gmail.com,무교
581,이용지,여,151.5,52.4,B형,1987-09-11,gmail.com,기독교
582,김덕현,여,157.5,57.4,O형,1961-05-03,gmail.com,불교
583,강석지,여,159.2,53.1,A형,1964-08-18,gmail.com,무교
584,윤덕은,남,173.2,62.9,B형,1977-02-14,naver.com,불교
585,옥정은,여,159.5,51.3,B형,1961-04-05,daum.net,불교
586,금희석,남,177.8,67.5,O형,1972-02-08,gmail.com,무교
587,곽훈택,남,166.6,60.1,AB형,1992-07-18,yahoo.com,기독교
588,신서지,여,146,56,O형,1946-01-31,daum.net,무교
589,이훈준,남,172.5,65.6,O형,1991-12-10,naver.com,기독교
590,유은지,여,149,55.6,O형,1976-05-09,gmail.com,무교
591,김남상,여,150.7,58,O형,1946-06-19,daum.net,무교
592,류현정,남,176.3,70.2,O형,1963-07-23,naver.com,불교
593,엄상택,남,175.5,69.2,B형,1947-07-08,yahoo.com,불교
594,김택서,여,158,54.8,A형,1958-02-12,yahoo.com,무교
595,임준종,여,150.1,54.5,O형,1992-09-27,naver.com,무교
596,윤서협,남,165.7,70.8,A형,1949-07-14,naver.com,기독교
597,이희현,여,155,58,A형,1961-02-18,gmail.com,무교
598,김성지,여,155.8,59,A형,1960-12-13,yahoo.com,불교
599,장훈지,남,171,69.2,O형,1965-09-25,yahoo.com,무교
600,이지택,남,173.7,65.3,A형,1995-01-06,naver.com,불교
601,김서남,여,156.7,55.4,B형,1964-10-12,gmail.com,기독교
602,이준영,여,153.1,55.2,AB형,1955-05-10,gmail.com,무교
603,한훈종,남,173.4,68.3,A형,1948-07-07,yahoo.com,무교
604,이택훈,여,146,53.1,A형,1972-06-06,naver.com,무교
605,권택은,남,162.6,64.2,O형,1971-06-09,naver.com,불교
606,박성용,여,155.4,50.8,B형,1954-06-11,naver.com,불교
607,이영종,남,170.1,67.1,B형,1951-06-15,gmail.com,무교
608,한정희,남,177.4,69.9,A형,1954-04-09,yahoo.com,무교
609,백은현,여,161,54.1,A형,1954-01-18,daum.net,무교
610,조준협,여,155.9,55.2,AB형,1954-10-13,yahoo.com,무교
611,김은현,남,170.7,67.4,O형,1974-08-05,daum.net,무교
612,이준종,여,146.3,49.9,B형,1950-10-01,yahoo.com,무교
613,조지영,여,151.9,58.7,AB형,1995-03-06,daum.net,무교
614,박정석,남,177.2,72.6,A형,1969-01-31,naver.com,무교
615,이훈용,남,173.9,70.8,A형,1954-08-28,gmail.com,기독교
616,박현지,여,164.9,55.9,AB형,1995-11-15,gmail.com,무교
617,최종지,남,176.5,67,A형,1975-06-28,yahoo.com,무교
618,이준현,남,163.3,64.7,B형,1978-09-29,naver.com,무교
619,김종진,여,154.3,50.3,B형,1959-08-03,naver.com,천주교
620,우남희,여,148.6,52.7,A형,1959-05-28,daum.net,기독교
621,김준현,여,159.9,50.2,A형,1963-04-21,naver.com,기독교
622,박훈상,여,158.5,61.2,AB형,1981-11-02,gmail.com,천주교
623,이훈남,남,171.4,68.8,O형,1972-07-08,naver.com,무교
624,최진지,여,152.5,57.8,A형,1960-12-20,daum.net,기독교
625,최종석,남,171.1,64,A형,1972-01-22,gmail.com,무교
626,황덕종,여,155.8,58.1,B형,1968-05-05,daum.net,천주교
627,최준용,남,166.5,66.5,O형,1966-03-30,naver.com,무교
628,김종덕,여,163.3,61.9,AB형,1951-11-15,naver.com,천주교
629,정용서,남,175.6,61.2,O형,1977-03-26,daum.net,기독교
630,김지남,남,167.1,70.3,AB형,1968-02-24,gmail.com,무교
631,김남상,여,151.7,59.7,O형,1962-07-22,gmail.com,기독교
632,박서남,남,166,59.9,A형,1965-09-30,gmail.com,불교
633,윤준서,남,167.7,65.9,O형,1961-01-09,daum.net,기독교
634,연택남,남,168.2,64.6,B형,1955-06-14,yahoo.com,무교
635,김택지,여,154.4,57.9,A형,1980-06-14,daum.net,무교
636,임훈상,여,151.9,56.2,O형,1975-12-17,naver.com,불교
637,진덕현,여,152.3,61.9,O형,1994-03-18,yahoo.com,불교
638,박성현,남,172.2,65.2,O형,1963-02-11,yahoo.com,불교
639,오상진,남,166.1,62.9,A형,1981-12-22,daum.net,무교
640,한준종,여,157.4,47.3,O형,1954-06-30,gmail.com,기독교
641,정정성,여,160.2,49.3,O형,1952-03-13,naver.com,무교
642,배은지,여,154.6,57.3,A형,1972-08-25,yahoo.com,무교
643,송종성,여,159,54.6,A형,1946-11-20,yahoo.com,무교
644,박지종,남,169.4,67.2,A형,1990-01-18,yahoo.com,무교
645,조훈준,남,169.1,64.4,B형,1946-11-19,daum.net,불교
646,전영우,남,169,64.7,O형,1976-08-07,gmail.com,불교
647,강훈지,여,161.6,53.4,AB형,1974-05-07,gmail.com,무교
648,김준은,남,171.4,64.5,O형,1995-03-04,yahoo.com,무교
649,박우남,남,184.1,68,A형,1977-06-11,gmail.com,기독교
650,차영남,남,179.9,60,A형,1995-03-31,daum.net,무교
651,정남영,남,166.7,64,A형,1960-08-13,daum.net,불교
652,박영서,여,158.5,54.6,AB형,1950-07-28,naver.com,기독교
653,박지희,여,157.9,64.9,O형,1984-05-17,yahoo.com,불교
654,변영상,남,174.6,72.2,O형,1957-05-14,daum.net,불교
655,임진지,여,163,52.8,O형,1971-03-04,yahoo.com,무교
656,신희지,여,154.8,53.7,A형,1984-08-07,yahoo.com,무교
657,조훈택,남,170.6,62.5,A형,1984-03-24,daum.net,기독교
658,지종우,여,161.4,56.1,O형,1948-03-31,yahoo.com,무교
659,이남진,여,155.5,53.8,A형,1951-03-29,daum.net,무교
660,고종택,남,159.9,73.5,A형,1964-08-23,yahoo.com,무교
661,김영용,남,176.7,60.5,O형,1987-01-22,naver.com,기독교
662,이지택,여,152.7,55.6,A형,1992-12-21,gmail.com,불교
663,남훈준,여,165.6,51.1,O형,1994-07-31,yahoo.com,무교
664,김현남,여,145.7,54.2,O형,1951-03-07,daum.net,무교
665,정정택,여,157.5,57.1,O형,1949-04-13,naver.com,불교
666,이훈용,여,146.5,51.7,A형,1972-02-21,gmail.com,기독교
667,오석덕,여,148.3,60.6,O형,1947-02-01,daum.net,무교
668,김우훈,여,159.7,55.2,AB형,1958-04-19,yahoo.com,무교
669,이준희,남,162.8,70.5,A형,1946-06-05,naver.com,무교
670,길준영,여,153.4,56.2,B형,1989-07-17,naver.com,기독교
671,안준상,여,162,57.9,AB형,1980-07-09,naver.com,무교
672,조훈택,여,158.1,54,B형,1956-06-18,yahoo.com,무교
673,김준은,여,157.6,59.5,A형,1949-06-20,naver.com,기독교
674,이희덕,남,157.3,69.2,AB형,1961-04-29,yahoo.com,불교
675,김영현,남,163.3,68.6,A형,1984-09-06,yahoo.com,무교
676,문현남,여,154.8,60.1,A형,1952-03-31,gmail.com,불교
677,박상덕,여,156.1,58,A형,1994-05-11,yahoo.com,무교
678,박택석,여,155.8,55.5,O형,1962-11-30,naver.com,기독교
679,김종훈,남,172.2,67.7,A형,1955-07-29,naver.com,기독교
680,박준정,여,156.8,58.6,A형,1965-10-11,naver.com,불교
681,최협상,남,168.2,62.5,A형,1989-07-15,daum.net,천주교
682,김서우,남,165.4,69.5,O형,1978-03-31,yahoo.com,불교
683,박지서,여,157.7,54.9,A형,1984-09-26,yahoo.com,불교
684,김우희,남,180.8,70.8,O형,1985-11-27,daum.net,무교
685,장현우,여,158.6,58.5,O형,1966-05-27,naver.com,천주교
686,김준석,여,155.7,63.2,B형,1947-03-11,daum.net,불교
687,최훈성,남,166.1,66.1,A형,1953-11-07,naver.com,천주교
688,정택영,여,157.2,54.5,A형,1949-04-18,yahoo.com,기독교
689,정성우,여,155.2,57.6,A형,1993-05-18,gmail.com,천주교
690,김용희,여,151.4,55.7,A형,1970-09-16,gmail.com,무교
691,이은영,여,157.1,48.7,O형,1958-04-17,daum.net,불교
692,김희준,여,149.6,57,B형,1948-09-07,gmail.com,무교
693,엄서성,여,149,56.8,A형,1950-06-22,daum.net,무교
694,이상지,남,179.2,67.5,A형,1976-01-08,yahoo.com,불교
695,박지현,남,163.6,67,A형,1985-12-21,gmail.com,무교
696,김영용,남,167.9,66.5,O형,1960-12-12,gmail.com,천주교
697,최진지,여,158.2,59.1,O형,1983-06-19,daum.net,천주교
698,방석영,남,165.6,66.4,A형,1953-03-22,naver.com,기독교
699,이준진,여,151.7,50.7,O형,1980-08-07,gmail.com,무교
700,김서진,여,171.2,58.6,A형,1966-03-22,gmail.com,기독교
701,김현용,여,150.1,55.6,O형,1992-12-07,naver.com,기독교
702,유지덕,여,155.5,51.5,AB형,1995-12-22,daum.net,불교
703,반희용,여,159.1,60.2,B형,1996-05-06,naver.com,불교
704,이은훈,남,170.2,63.3,A형,1969-05-03,naver.com,불교
705,조종훈,남,174.8,68.1,A형,1958-12-31,gmail.com,불교
706,이서영,남,163.2,63.2,B형,1988-04-29,gmail.com,불교
707,김덕종,여,149.3,45.7,O형,1946-10-20,daum.net,불교
708,김덕준,여,161.5,53.2,B형,1956-05-22,yahoo.com,불교
709,신협현,남,168,74,O형,1986-05-03,naver.com,불교
710,김종협,여,158.4,55.1,B형,1956-09-09,gmail.com,무교
711,이남종,여,150,64.8,A형,1970-09-01,gmail.com,무교
712,김종영,여,162.9,50.1,A형,1946-01-04,naver.com,천주교
713,박남희,여,157.2,57.4,A형,1967-07-04,naver.com,기독교
714,박종택,여,154.4,55.5,B형,1992-10-26,daum.net,기독교
715,이준성,남,171.7,63,B형,1989-01-03,yahoo.com,불교
716,박석준,남,170.1,61.5,A형,1983-08-26,daum.net,무교
717,구우종,여,153.6,55.2,A형,1974-05-20,gmail.com,무교
718,박훈덕,여,157.2,59.3,O형,1948-01-30,naver.com,불교
719,이희지,여,156.3,49.6,A형,1989-07-09,gmail.com,불교
720,이훈서,여,151,53.2,O형,1992-01-13,daum.net,무교
721,이지덕,남,163.5,66.9,A형,1979-07-20,yahoo.com,불교
722,이종지,여,150.7,50.2,O형,1964-02-21,naver.com,무교
723,박덕정,여,154,52.3,O형,1980-09-11,naver.com,천주교
724,최지훈,남,171.6,68.6,A형,1957-08-18,gmail.com,무교
725,김서종,여,159.3,58.3,A형,1956-09-24,daum.net,무교
726,강훈상,여,159.7,54.5,O형,1968-02-17,gmail.com,무교
727,고성지,남,175.1,72.1,O형,1985-12-16,gmail.com,무교
728,전준서,남,179.4,62.3,A형,1964-02-15,yahoo.com,무교
729,전희훈,남,172.3,66.4,O형,1984-09-25,daum.net,무교
730,신서훈,남,165.5,59.6,AB형,1994-08-01,gmail.com,기독교
731,오지우,남,169.6,73.7,B형,1951-01-30,gmail.com,무교
732,강현훈,여,156,59.6,A형,1968-08-30,naver.com,무교
733,석지훈,남,175.8,60.4,AB형,1979-06-24,yahoo.com,무교
734,최택덕,남,170.3,62.6,O형,1983-09-29,gmail.com,기독교
735,배정영,남,176.7,63.6,AB형,1982-12-06,yahoo.com,불교
736,이정남,여,158.2,49.6,O형,1990-10-12,daum.net,천주교
737,김정지,여,149.5,61.6,A형,1987-04-03,yahoo.com,불교
738,이준희,여,154,58.8,A형,1968-08-12,daum.net,기독교
739,고석정,여,156.3,54.8,B형,1983-11-15,daum.net,무교
740,박남우,여,152,57.5,A형,1953-05-31,gmail.com,무교
741,최정진,남,171.9,56.5,A형,1974-04-23,gmail.com,기독교
742,구정택,남,165.5,69.3,O형,1968-07-27,gmail.com,불교
743,박훈성,남,171.8,65.1,A형,1986-04-23,gmail.com,천주교
744,심희지,여,149.9,63.1,O형,1982-12-20,daum.net,무교
745,이용현,남,174.7,69.5,O형,1975-07-10,naver.com,무교
746,손성남,남,171.5,63.1,AB형,1986-12-31,yahoo.com,천주교
747,위성현,남,169.4,69.6,B형,1974-02-26,daum.net,천주교
748,손지남,여,153.9,61,B형,1986-04-29,gmail.com,불교
749,정택남,남,172.8,69.5,A형,1976-10-03,daum.net,불교
750,이준희,여,153,47.5,O형,1969-06-22,yahoo.com,천주교
751,박종남,여,151.2,57.9,A형,1953-04-18,naver.com,불교
752,임훈서,남,168.4,67.5,B형,1970-05-15,naver.com,불교
753,유희준,남,161.7,67.5,O형,1961-05-11,daum.net,무교
754,강정남,남,175.2,66.8,O형,1966-07-11,gmail.com,무교
755,엄석준,남,172.8,61.2,O형,1967-10-19,naver.com,무교
756,김현용,남,174.7,67.1,O형,1993-06-30,naver.com,무교
757,김종영,여,156.1,54.6,B형,1993-02-03,yahoo.com,무교
758,박남종,여,166.1,61.7,A형,1964-11-13,naver.com,불교
759,이덕우,여,158.5,57.7,O형,1987-10-08,yahoo.com,무교
760,성진정,여,161.5,49.8,A형,1994-05-26,gmail.com,무교
761,도준남,여,161.6,52.6,O형,1991-06-02,daum.net,무교
762,김택훈,여,163.8,57.2,AB형,1993-01-03,naver.com,기독교
763,임우남,여,157.4,45.4,A형,1991-11-16,daum.net,무교
764,이종상,남,168.4,64.3,A형,1979-11-19,yahoo.com,기독교
765,박정상,여,156.6,55.4,B형,1952-07-09,gmail.com,불교
766,박남성,여,166,50.1,B형,1968-12-31,gmail.com,기독교
767,이우은,여,155.2,59,O형,1979-06-11,naver.com,기독교
768,황희용,남,164.2,59.8,B형,1996-04-13,naver.com,천주교
769,김준영,여,159.2,55.1,O형,1966-02-24,daum.net,무교
770,김협종,남,165.5,63.9,A형,1951-08-10,naver.com,무교
771,김준석,여,159,56,A형,1973-05-30,naver.com,무교
772,한남석,남,164.9,65.4,B형,1958-10-27,gmail.com,무교
773,김남용,남,163.7,62.7,B형,1993-11-25,gmail.com,무교
774,김은현,여,162.5,55.6,O형,1988-01-28,daum.net,무교
775,한영훈,여,157.4,49.8,A형,1978-03-10,gmail.com,무교
776,김영석,남,170.7,73.9,O형,1972-01-30,yahoo.com,무교
777,김지준,여,156.2,50.5,A형,1967-02-26,daum.net,불교
778,조덕지,남,174.3,69.5,AB형,1986-10-04,yahoo.com,기독교
779,박택용,여,150.3,56.4,O형,1959-09-23,daum.net,불교
780,김상택,남,174.6,64.5,B형,1979-09-16,yahoo.com,기독교
781,심협준,여,160.1,53.3,B형,1988-12-31,gmail.com,무교
782,이석정,여,153.3,60.4,AB형,1991-11-13,gmail.com,무교
783,신희덕,여,146.5,61.6,O형,1975-07-06,gmail.com,무교
784,이성훈,여,157,57.6,O형,1976-06-28,daum.net,기독교
785,김용협,여,163.9,55.3,A형,1949-06-08,gmail.com,불교
786,우훈종,남,172.9,67.8,A형,1970-10-14,naver.com,무교
787,이남정,남,164.2,63.3,AB형,1993-12-20,naver.com,불교
788,김영지,남,161.9,60.2,A형,1967-09-02,naver.com,기독교
789,이현훈,여,159.2,52.5,B형,1985-05-23,daum.net,불교
790,박서희,남,167.7,65.7,AB형,1996-05-23,gmail.com,무교
791,양서정,여,163.9,55.9,O형,1989-09-11,daum.net,불교
792,진석준,여,157.9,55.6,A형,1957-10-04,naver.com,무교
793,이우훈,남,167.6,71.7,A형,1987-12-10,yahoo.com,불교
794,김지현,남,171.4,69,A형,1972-03-04,naver.com,무교
