CORRECT LIST
['2665', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1950****', '*************', '*************', 'daum.net', '기독교', '새마을금고', '4-14384616703-3', '3']
['39546', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'naver.com', '불교', '외환은행', '657-923644-695', '7']
['39590', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1968****', '*************', '*************', 'yahoo.com', '무교', '신한은행', '484-536-594331', '9']
['277', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'B형', '1969****', '*************', '*************', 'gmail.com', '천주교', '하나은행', '742-407634-90858', '5']
['15789', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'AB형', '1969****', '*************', '*************', 'gmail.com', '기독교', '하나은행', '468-177412-17227', '7']
['31520', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1969****', '*************', '*************', 'yahoo.com', '무교', '우리은행', '8963-433-211166', '5']
['34185', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1969****', '*************', '*************', 'naver.com', '불교', '우리은행', '9937-590-861282', '7']
['3971', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1969****', '*************', '*************', 'gmail.com', '천주교', '국민은행', '565797-95-126363', '3']
['33292', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1969****', '*************', '*************', 'yahoo.com', '무교', '한국씨티은행', '582-780407-063', '3']
['17758', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1969****', '*************', '*************', 'daum.net', '불교', '기업은행', '248-339877-86-267', '4']
['28161', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1969****', '*************', '*************', 'gmail.com', '무교', '한국씨티은행', '466-506624-061', '2']
['39270', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1969****', '*************', '*************', 'daum.net', '무교', '국민은행', '062274-45-327651', '9']
['18227', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1970****', '*************', '*************', 'daum.net', '천주교', '국민은행', '390852-34-295001', '8']
['18637', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1970****', '*************', '*************', 'gmail.com', '기독교', '하나은행', '216-833594-73621', '7']
['29742', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1970****', '*************', '*************', 'naver.com', '불교', '외환은행', '834-328087-060', '2']
['15625', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1970****', '*************', '*************', 'yahoo.com', '기독교', '우리은행', '9297-575-844204', '2']
['17453', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1970****', '*************', '*************', 'yahoo.com', '무교', '외환은행', '042-055868-325', '4']
['21367', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1970****', '*************', '*************', 'daum.net', '무교', '국민은행', '680566-36-016472', '4']
['11224', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1970****', '*************', '*************', 'daum.net', '무교', '신한은행', '392-620-137473', '1']
['36190', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1970****', '*************', '*************', 'naver.com', '무교', '우리은행', '3923-345-302892', '1']
['35307', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1970****', '*************', '*************', 'naver.com', '무교', '수협중앙회', '5322-1249-7546', '5']
['2842', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1971****', '*************', '*************', 'daum.net', '무교', '외환은행', '402-387526-789', '5']
['15091', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1971****', '*************', '*************', 'yahoo.com', '불교', 'NH농협', '135-9458-127-98', '2']
['22050', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1971****', '*************', '*************', 'gmail.com', '무교', 'NH농협', '237-8249-835-60', '7']
['22982', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1971****', '*************', '*************', 'daum.net', '기독교', 'NH농협', '230-9716-407-90', '6']
['37969', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1971****', '*************', '*************', 'gmail.com', '천주교', '스탠다드(제일)', '955-81-248756', '3']
['6273', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1971****', '*************', '*************', 'gmail.com', '무교', '수협중앙회', '7032-2233-3613', '8']
['28809', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1971****', '*************', '*************', 'gmail.com', '무교', '국민은행', '598538-76-753132', '1']
['33308', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1971****', '*************', '*************', 'gmail.com', '무교', '국민은행', '811537-85-864408', '9']
['28467', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1971****', '*************', '*************', 'naver.com', '무교', '하나은행', '504-349012-14372', '5']
['31619', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1971****', '*************', '*************', 'naver.com', '불교', '한국씨티은행', '527-374404-300', '3']
['1479', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1971****', '*************', '*************', 'gmail.com', '무교', '국민은행', '875060-50-904250', '2']
['23875', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1971****', '*************', '*************', 'gmail.com', '기독교', '수협중앙회', '0938-5799-0547', '1']
['26467', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1972****', '*************', '*************', 'naver.com', '불교', '하나은행', '410-020660-07104', '8']
['4602', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1972****', '*************', '*************', 'naver.com', '불교', '기업은행', '352-575223-39-886', '4']
['7369', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1972****', '*************', '*************', 'yahoo.com', '무교', 'NH농협', '141-8782-312-62', '1']
['14510', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1972****', '*************', '*************', 'yahoo.com', '무교', '기업은행', '012-077136-42-707', '4']
['18845', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1972****', '*************', '*************', 'naver.com', '무교', '우리은행', '0261-131-508773', '2']
['19078', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1972****', '*************', '*************', 'gmail.com', '불교', '수협중앙회', '2856-0003-7840', '5']
['27503', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1972****', '*************', '*************', 'yahoo.com', '기독교', '수협중앙회', '0958-1523-2892', '6']
['36211', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1972****', '*************', '*************', 'daum.net', '무교', 'NH농협', '452-5775-957-77', '6']
['39309', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1972****', '*************', '*************', 'gmail.com', '무교', '우리은행', '3628-439-684280', '6']
['3948', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1972****', '*************', '*************', 'daum.net', '무교', '기업은행', '509-418693-36-009', '5']
['13238', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1972****', '*************', '*************', 'naver.com', '무교', '새마을금고', '8-54866205581-7', '4']
['3713', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1972****', '*************', '*************', 'yahoo.com', '기독교', '수협중앙회', '2084-9882-1193', '7']
['34585', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1972****', '*************', '*************', 'daum.net', '기독교', '우리은행', '5163-811-094390', '3']
['32093', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1972****', '*************', '*************', 'daum.net', '무교', '신한은행', '368-001-159944', '1']
['13846', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1973****', '*************', '*************', 'daum.net', '천주교', 'NH농협', '607-6345-067-47', '8']
['20756', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1973****', '*************', '*************', 'daum.net', '기독교', 'NH농협', '624-3065-795-45', '7']
['7990', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1973****', '*************', '*************', 'daum.net', '불교', '새마을금고', '2-51104208878-3', '7']
['18530', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1973****', '*************', '*************', 'naver.com', '천주교', '외환은행', '976-765663-831', '3']
['32761', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1973****', '*************', '*************', 'gmail.com', '무교', '하나은행', '548-499561-62479', '9']
['37655', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1973****', '*************', '*************', 'yahoo.com', '무교', 'NH농협', '661-7617-716-06', '7']
['6403', '윤**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1973****', '*************', '*************', 'naver.com', '무교', '국민은행', '033457-41-249184', '7']
['2099', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1973****', '*************', '*************', 'gmail.com', '무교', '외환은행', '329-440835-844', '5']
['17042', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1973****', '*************', '*************', 'naver.com', '무교', '스탠다드(제일)', '989-94-450573', '4']
['22231', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1973****', '*************', '*************', 'gmail.com', '불교', '우리은행', '2100-868-450082', '8']
['38147', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1973****', '*************', '*************', 'yahoo.com', '무교', '기업은행', '199-714259-49-714', '6']
['11889', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1973****', '*************', '*************', 'daum.net', '불교', '신한은행', '893-268-096974', '3']
['32080', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1973****', '*************', '*************', 'naver.com', '무교', '수협중앙회', '2130-2280-0688', '2']
['36208', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1973****', '*************', '*************', 'gmail.com', '기독교', '신한은행', '906-158-893051', '8']
['19446', '조**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1973****', '*************', '*************', 'gmail.com', '무교', '새마을금고', '4-48707738136-6', '2']
['25372', '조**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1973****', '*************', '*************', 'naver.com', '기독교', '신한은행', '041-862-521276', '2']
['31752', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1973****', '*************', '*************', 'yahoo.com', '무교', '새마을금고', '0-89210823984-7', '8']
['23075', '강**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1974****', '*************', '*************', 'gmail.com', '무교', '스탠다드(제일)', '228-25-530597', '4']
['16505', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'O형', '1974****', '*************', '*************', 'daum.net', '무교', 'NH농협', '213-2329-847-41', '7']
['30637', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1974****', '*************', '*************', 'yahoo.com', '기독교', '하나은행', '491-698013-49705', '8']
['34948', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1974****', '*************', '*************', 'yahoo.com', '무교', '스탠다드(제일)', '711-88-260252', '1']
['39684', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1974****', '*************', '*************', 'naver.com', '무교', '우리은행', '9613-128-093862', '6']
['712', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1974****', '*************', '*************', 'daum.net', '불교', '하나은행', '156-977104-93068', '3']
['39312', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1974****', '*************', '*************', 'gmail.com', '기독교', '수협중앙회', '6801-8745-5678', '3']
['3360', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1974****', '*************', '*************', 'daum.net', '기독교', 'NH농협', '465-1561-326-66', '9']
['30112', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1974****', '*************', '*************', 'daum.net', '천주교', '외환은행', '226-825908-676', '4']
['36447', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1974****', '*************', '*************', 'daum.net', '불교', 'NH농협', '250-4659-937-07', '4']
['10839', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1974****', '*************', '*************', 'gmail.com', '불교', 'NH농협', '330-8992-874-68', '2']
['24200', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1974****', '*************', '*************', 'naver.com', '무교', '기업은행', '721-764636-43-341', '9']
['26487', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1974****', '*************', '*************', 'gmail.com', '무교', '한국씨티은행', '076-267249-583', '7']
['27182', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1974****', '*************', '*************', 'naver.com', '무교', '하나은행', '349-774677-99951', '8']
['26356', '조**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1974****', '*************', '*************', 'gmail.com', '무교', '신한은행', '533-108-503883', '4']
['28071', '조**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1974****', '*************', '*************', 'yahoo.com', '무교', '우리은행', '7911-066-988162', '1']
['33433', '조**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1974****', '*************', '*************', 'naver.com', '기독교', '외환은행', '640-301364-576', '7']
['29245', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1975****', '*************', '*************', 'gmail.com', '무교', '외환은행', '779-798310-149', '7']
['321', '이**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1975****', '*************', '*************', 'daum.net', '불교', '기업은행', '465-102122-32-397', '9']
['4718', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1975****', '*************', '*************', 'naver.com', '무교', '외환은행', '190-369785-643', '2']
['5750', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1975****', '*************', '*************', 'yahoo.com', '불교', '국민은행', '396880-74-536978', '2']
['21531', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1975****', '*************', '*************', 'naver.com', '무교', '신한은행', '434-802-811382', '9']
['6411', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'AB형', '1976****', '*************', '*************', 'gmail.com', '무교', '기업은행', '657-837984-49-563', '6']
['12209', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'B형', '1976****', '*************', '*************', 'gmail.com', '무교', '수협중앙회', '7660-4092-6042', '3']
['30185', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'O형', '1976****', '*************', '*************', 'gmail.com', '기독교', '외환은행', '313-677953-644', '8']
['12259', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1976****', '*************', '*************', 'gmail.com', '무교', '새마을금고', '7-58857071788-2', '2']
['34200', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1976****', '*************', '*************', 'naver.com', '기독교', '우리은행', '3883-796-271386', '1']
['6742', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1977****', '*************', '*************', 'yahoo.com', '불교', '신한은행', '524-520-142531', '8']
['10551', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1977****', '*************', '*************', 'daum.net', '무교', '스탠다드(제일)', '812-41-417739', '5']
['23433', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1977****', '*************', '*************', 'gmail.com', '무교', '한국씨티은행', '813-494105-179', '2']
['24482', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1977****', '*************', '*************', 'gmail.com', '기독교', '신한은행', '495-636-025587', '4']
['33102', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1977****', '*************', '*************', 'gmail.com', '기독교', '기업은행', '384-307232-78-058', '7']
['24119', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1977****', '*************', '*************', 'daum.net', '무교', '신한은행', '551-715-623841', '7']
['37314', '이**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1977****', '*************', '*************', 'daum.net', '무교', '한국씨티은행', '715-560383-140', '9']
['8876', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1977****', '*************', '*************', 'naver.com', '불교', '하나은행', '997-691156-27621', '6']
['20059', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1977****', '*************', '*************', 'gmail.com', '불교', '스탠다드(제일)', '451-14-732271', '5']
['24241', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1977****', '*************', '*************', 'yahoo.com', '무교', '기업은행', '671-496545-58-584', '9']
['31349', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1977****', '*************', '*************', 'naver.com', '기독교', '신한은행', '523-878-769526', '8']
['773', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1978****', '*************', '*************', 'daum.net', '무교', '스탠다드(제일)', '649-64-516085', '8']
['23143', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1978****', '*************', '*************', 'gmail.com', '기독교', '국민은행', '770956-86-661584', '2']
['31505', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1978****', '*************', '*************', 'daum.net', '불교', '신한은행', '421-552-953130', '2']
['8289', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1978****', '*************', '*************', 'yahoo.com', '불교', 'NH농협', '923-1169-090-43', '3']
['30810', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1979****', '*************', '*************', 'gmail.com', '무교', '신한은행', '070-385-906260', '1']
['14308', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1979****', '*************', '*************', 'naver.com', '불교', '새마을금고', '0-52329542992-2', '9']
['7143', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1979****', '*************', '*************', 'naver.com', '불교', '기업은행', '740-025812-09-334', '6']
['8734', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1979****', '*************', '*************', 'naver.com', '기독교', '우리은행', '8516-147-239056', '6']
['3440', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1980****', '*************', '*************', 'yahoo.com', '무교', '수협중앙회', '4260-5725-5533', '4']
['15528', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1980****', '*************', '*************', 'naver.com', '무교', '신한은행', '332-093-923963', '4']
['18135', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1980****', '*************', '*************', 'yahoo.com', '불교', '수협중앙회', '2485-1639-0501', '1']
['10167', '박**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'AB형', '1980****', '*************', '*************', 'naver.com', '무교', '스탠다드(제일)', '869-94-775789', '1']
['36183', '박**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1980****', '*************', '*************', 'gmail.com', '불교', '외환은행', '371-503338-305', '9']
['6251', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1980****', '*************', '*************', 'yahoo.com', '기독교', '수협중앙회', '0608-9601-2617', '6']
['34241', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1980****', '*************', '*************', 'yahoo.com', '무교', '외환은행', '377-799337-334', '5']
['2459', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1980****', '*************', '*************', 'gmail.com', '기독교', '새마을금고', '6-16810046504-7', '6']
['10643', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1980****', '*************', '*************', 'gmail.com', '불교', '국민은행', '255868-09-002804', '6']
['17927', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1980****', '*************', '*************', 'yahoo.com', '무교', '우리은행', '2600-487-531835', '5']
['8983', '홍**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1980****', '*************', '*************', 'daum.net', '무교', '스탠다드(제일)', '171-88-326454', '3']
['11930', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'B형', '1981****', '*************', '*************', 'gmail.com', '무교', '한국씨티은행', '005-122267-501', '3']
['34288', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'AB형', '1981****', '*************', '*************', 'daum.net', '무교', '외환은행', '714-041018-344', '5']
['21947', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1981****', '*************', '*************', 'naver.com', '무교', '기업은행', '695-333757-74-379', '8']
['9490', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1981****', '*************', '*************', 'daum.net', '기독교', '하나은행', '300-815293-46062', '6']
['16627', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1981****', '*************', '*************', 'gmail.com', '무교', '신한은행', '130-546-433941', '4']
['36093', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1981****', '*************', '*************', 'yahoo.com', '무교', '한국씨티은행', '822-081136-993', '9']
['37141', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1981****', '*************', '*************', 'daum.net', '불교', 'NH농협', '896-6071-588-47', '5']
['13564', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1981****', '*************', '*************', 'yahoo.com', '무교', '스탠다드(제일)', '931-37-198196', '2']
['14530', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1981****', '*************', '*************', 'yahoo.com', '기독교', '한국씨티은행', '511-142929-740', '4']
['16729', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1981****', '*************', '*************', 'gmail.com', '기독교', '한국씨티은행', '833-221342-738', '3']
['24094', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1981****', '*************', '*************', 'gmail.com', '무교', '스탠다드(제일)', '508-55-609462', '7']
['15029', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1982****', '*************', '*************', 'yahoo.com', '불교', '새마을금고', '2-87621324354-8', '1']
['20299', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1982****', '*************', '*************', 'gmail.com', '불교', '수협중앙회', '6196-8288-8167', '4']
['22663', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1982****', '*************', '*************', 'yahoo.com', '무교', '스탠다드(제일)', '608-47-352538', '1']
['33773', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1982****', '*************', '*************', 'yahoo.com', '불교', '수협중앙회', '5657-3201-8679', '3']
['30841', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1982****', '*************', '*************', 'naver.com', '천주교', '새마을금고', '9-56758094288-2', '8']
['6680', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1982****', '*************', '*************', 'gmail.com', '불교', '한국씨티은행', '088-736205-499', '2']
['33306', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1982****', '*************', '*************', 'daum.net', '기독교', '국민은행', '294519-36-350674', '6']
['32282', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1982****', '*************', '*************', 'naver.com', '기독교', '하나은행', '511-695865-97544', '1']
['18266', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1982****', '*************', '*************', 'yahoo.com', '불교', '기업은행', '256-102476-32-292', '2']
['22138', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1982****', '*************', '*************', 'gmail.com', '무교', 'NH농협', '155-8477-755-20', '1']
['3952', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1983****', '*************', '*************', 'naver.com', '무교', '국민은행', '825894-75-420875', '3']
['25761', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1983****', '*************', '*************', 'naver.com', '무교', '새마을금고', '6-83187863584-7', '2']
['29207', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1983****', '*************', '*************', 'naver.com', '불교', '하나은행', '692-123537-94562', '3']
['35324', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1983****', '*************', '*************', 'gmail.com', '불교', '수협중앙회', '1202-5779-3310', '7']
['36984', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1983****', '*************', '*************', 'daum.net', '무교', '수협중앙회', '5509-6874-5244', '2']
['18357', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1983****', '*************', '*************', 'daum.net', '불교', '외환은행', '555-211052-519', '8']
['20848', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1983****', '*************', '*************', 'yahoo.com', '기독교', '스탠다드(제일)', '132-94-403041', '1']
['1808', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1984****', '*************', '*************', 'yahoo.com', '천주교', '하나은행', '196-900527-82884', '2']
['37666', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1984****', '*************', '*************', 'yahoo.com', '무교', '새마을금고', '3-31480391491-3', '2']
['12875', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1984****', '*************', '*************', 'gmail.com', '기독교', '하나은행', '353-213682-86194', '1']
['21245', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1984****', '*************', '*************', 'daum.net', '기독교', '하나은행', '004-776587-71660', '5']
['37109', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1984****', '*************', '*************', 'daum.net', '기독교', '국민은행', '225133-77-025635', '6']
['19577', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1984****', '*************', '*************', 'daum.net', '무교', '국민은행', '771164-88-528677', '4']
['19653', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1984****', '*************', '*************', 'naver.com', '천주교', '우리은행', '4912-570-490735', '4']
['35023', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1984****', '*************', '*************', 'gmail.com', '기독교', '새마을금고', '0-29516673569-1', '9']
['24692', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1985****', '*************', '*************', 'naver.com', '무교', '스탠다드(제일)', '809-81-419498', '2']
['16036', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1985****', '*************', '*************', 'yahoo.com', '천주교', '외환은행', '905-147548-989', '6']
['11591', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1985****', '*************', '*************', 'yahoo.com', '기독교', 'NH농협', '706-7454-120-39', '6']
['26346', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1985****', '*************', '*************', 'yahoo.com', '무교', '국민은행', '683240-45-975461', '5']
['2910', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1985****', '*************', '*************', 'daum.net', '무교', '외환은행', '450-195303-394', '6']
