No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,IP,MAC
9045,백성희,여성,158.1,53.0,B형,19910904,010-2721-2915,xdud3i,gmail.com,무교,34.209.220.89,bf:bc:80:28:30:a1
9053,김택서,남성,169.0,72.6,O형,19840212,010-2086-3220,mub04kdxlgf5,daum.net,기독교,163.188.10.146,85:42:bd:ed:1a:bc
9068,임남상,여성,155.8,57.0,A형,19830329,010-2993-7450,h1o2tz4lpfrl,gmail.com,기독교,65.151.86.14,6e:b1:ab:ac:b6:82
9069,이택종,여성,167.9,51.0,A형,19630128,010-4712-9263,tf7km98bk71gb,gmail.com,기독교,189.154.206.223,f1:e3:eb:54:a3:2a
9085,이은지,여성,153.2,49.1,A형,19660604,010-8608-9080,j8tz3mhs6ptnu,gmail.com,기독교,92.56.26.21,8e:fe:9a:d0:8a:e3
9089,장정택,남성,171.9,65.6,A형,19460418,010-4934-0003,hdf1u6,naver.com,기독교,190.58.212.1,01:13:69:ee:58:df
9091,박남택,여성,161.4,60.7,A형,19830115,010-1681-2909,z91k2tksy1,daum.net,천주교,208.160.93.43,41:4c:5a:37:52:19
9118,양영희,여성,150.4,56.9,B형,19481008,010-2282-1826,icmc1mod,daum.net,기독교,198.118.224.219,02:4b:c7:ef:bf:9c
9138,한지남,남성,169.9,64.0,A형,19620814,010-0204-3725,luubs3yaj,daum.net,기독교,241.34.39.122,ea:cf:39:7e:e4:f6
9171,이종지,여성,161.6,49.3,B형,19900207,010-6902-1129,b9qfdmowbjez,daum.net,천주교,155.78.65.194,f7:1e:82:62:96:dd
9185,김진종,여성,148.1,53.2,A형,19630510,010-2020-0045,iyallf4txr1,naver.com,무교,175.93.71.62,88:eb:0b:f4:d9:01
9186,정상협,남성,170.7,66.7,A형,19831202,010-9166-3561,wir1wq3md3jw,yahoo.com,무교,189.61.202.106,95:2e:1d:b5:7c:9a
9215,최남종,여성,152.8,56.0,B형,19501022,010-2482-8393,gg7erc,daum.net,무교,194.203.176.186,42:34:39:93:f7:30
9217,전남우,남성,183.3,62.5,O형,19670911,010-1934-6655,dwzy4hk2y2,gmail.com,기독교,29.88.7.142,77:ed:ed:6c:8b:87
9229,주훈희,남성,178.1,63.4,B형,19530621,010-2034-1179,d5g1hat5wsjx,daum.net,불교,82.155.193.18,41:2f:83:f7:8f:6b
9230,조훈지,여성,155.3,54.0,O형,19960816,010-5186-1207,ynruz2zz7,naver.com,불교,217.236.26.116,93:73:0c:74:7d:db
9238,도지용,여성,163.8,61.0,O형,19751128,010-7409-5265,oeswcqtt,gmail.com,무교,84.55.74.178,19:ad:3b:b7:c5:d1
9260,강현석,여성,155.1,62.7,A형,19600215,010-4450-3647,xkkc4l77y,daum.net,불교,211.212.63.169,36:b1:66:a3:41:95
9262,유진준,남성,161.2,64.8,A형,19850328,010-4744-1374,pqhrwyl6q,naver.com,무교,248.136.195.60,08:7b:c6:2c:71:cb
9263,하덕남,남성,172.5,61.2,B형,19861213,010-6576-8820,kmfiax,naver.com,무교,203.26.71.6,52:26:b4:08:59:0f
9265,이훈상,남성,175.2,64.3,O형,19631212,010-9923-0110,ym4hes,naver.com,불교,1.119.162.202,59:31:7d:f9:17:05
9274,박훈성,남성,169.1,67.9,O형,19800724,010-9203-5963,a8kmdv,naver.com,기독교,115.82.156.227,8d:ae:e9:7b:63:19
9286,김용준,남성,161.6,66.9,B형,19660606,010-4055-6228,rxsm672u23l,gmail.com,불교,58.195.77.194,15:07:24:dd:09:c4
9326,최석상,남성,167.0,54.1,A형,19590614,010-1864-4224,pt1f7432g,gmail.com,기독교,29.220.83.24,37:64:22:21:bf:94
9330,송희현,여성,149.8,55.1,A형,19500221,010-1747-1052,kmgbog2t,yahoo.com,기독교,25.182.39.181,f2:81:67:19:3d:e8
9341,이우성,남성,173.7,72.7,A형,19690531,010-6224-4483,ey7jdsutv,yahoo.com,기독교,72.252.224.158,d6:65:1e:2c:c2:83
9361,김준용,여성,158.7,57.0,B형,19700330,010-1434-1965,khu6ze7u7d7jr,gmail.com,불교,195.51.54.207,e8:89:2b:db:d5:b4
9373,김훈남,여성,153.7,56.8,O형,19520203,010-2893-3704,jq91y5,gmail.com,천주교,93.7.199.93,73:f7:6f:47:18:88
9400,신은용,여성,144.9,51.7,B형,19811011,010-0410-5856,oi1dbd0,yahoo.com,기독교,14.182.32.126,6f:69:4e:ca:e9:3f
9407,황택지,여성,156.9,58.3,B형,19601026,010-2768-7123,cepnijgqhvxc,yahoo.com,불교,19.57.253.190,f3:fd:f9:63:ea:13
9412,조정서,여성,151.6,59.2,A형,19900317,010-9570-6975,gtmtqq15vom,yahoo.com,천주교,234.50.127.135,89:9f:69:7b:76:b1
9421,이훈지,여성,158.1,60.2,B형,19680214,010-1584-2120,tlnoe66qg,daum.net,무교,145.125.139.69,bb:77:c0:7c:0d:53
9443,엄석우,남성,177.0,65.3,O형,19811220,010-1862-4982,ui8fqfsp81,yahoo.com,불교,147.248.34.34,83:80:4c:8a:8c:44
9449,김훈종,여성,147.2,54.1,A형,19750317,010-6760-1879,kf3z7a0,gmail.com,무교,114.176.211.16,55:cc:2b:cc:78:2a
9453,황지상,남성,174.3,60.9,O형,19680210,010-3383-1707,rk67q5tuy,yahoo.com,무교,240.200.58.133,e8:20:d9:88:46:db
9467,김협성,남성,175.3,71.6,A형,19890306,010-6449-4247,kef3vqnlcewss,gmail.com,무교,176.125.156.221,59:76:a1:eb:0e:9f
9480,심희남,여성,156.9,51.6,A형,19550223,010-5147-3352,m92b07v8zm8zi,yahoo.com,불교,249.51.168.77,d5:7f:41:06:cd:f4
9501,김정영,남성,171.7,65.2,O형,19891228,010-7528-0010,ux93jrrxvgf,yahoo.com,불교,137.93.205.244,28:df:c7:0f:c8:2f
9505,포훈덕,남성,174.4,62.6,O형,19500322,010-1349-2221,jj0fa9j7,gmail.com,기독교,73.106.193.82,96:a6:b1:85:6e:90
9506,신정석,남성,177.0,66.7,O형,19870426,010-2159-6001,gn8gss,gmail.com,불교,123.45.124.150,bc:dd:d3:09:9a:cd
9513,전은훈,여성,158.4,55.2,B형,19940916,010-6966-2480,jgycg1ofnct7,gmail.com,기독교,255.170.149.33,82:6d:60:65:b0:76
9527,김은진,여성,155.7,52.7,A형,19460401,010-2039-7112,ob5llqfw,naver.com,기독교,45.230.241.143,a7:ee:ff:3a:4f:c1
9531,박준협,여성,158.2,55.3,AB형,19720606,010-1937-0878,wtabnwlclnueb,daum.net,무교,92.73.93.69,96:c9:b6:e7:07:fc
9542,윤석덕,여성,155.3,48.8,A형,19860205,010-5780-5378,h0jpb8yd86,naver.com,천주교,60.106.238.151,cf:6c:91:fc:43:8b
9553,김준지,여성,150.0,47.8,B형,19800211,010-4872-8676,vlacb5,naver.com,무교,38.184.232.218,ad:c8:31:39:29:b7
9564,함택지,남성,169.0,66.4,A형,19780811,010-9668-5290,fg10eheqj,yahoo.com,불교,136.114.177.239,ce:ee:b5:d2:f2:c0
9569,송훈지,여성,157.5,51.4,A형,19760220,010-9250-1312,rm3v1ni6,yahoo.com,불교,188.192.131.147,40:c5:b0:92:dc:a5
9596,김종서,남성,157.9,71.2,O형,19640603,010-6700-8623,mrqgf6fcih,daum.net,불교,154.37.213.4,e2:bb:c3:c2:26:1e
9604,김성준,남성,167.0,67.7,O형,19930726,010-5765-7778,iqcithvc8z,naver.com,불교,82.95.37.113,74:7d:ef:74:30:3c
9631,이상서,남성,170.0,70.6,O형,19490217,010-8736-2185,t4fpry0,yahoo.com,무교,46.144.141.203,ae:d7:f6:1b:b0:6c
9638,천택현,남성,173.6,64.7,O형,19500312,010-3357-1606,n4uoaal,daum.net,불교,228.154.209.184,2b:b1:61:4a:56:7e
9646,이훈협,여성,159.1,56.2,A형,19901114,010-7576-1906,cwn5kzsi8qwhg,yahoo.com,기독교,76.203.98.114,c0:a8:01:a1:4a:29
9653,박은희,남성,173.8,67.4,A형,19460208,010-2069-5369,qe603c,yahoo.com,기독교,40.39.103.182,81:a6:6f:b4:53:b5
9657,주종정,여성,159.2,54.7,O형,19911213,010-3456-3507,ed3twblpz,naver.com,천주교,226.170.232.209,4a:d0:2a:2c:1f:1c
9658,최서남,남성,165.2,66.8,B형,19550304,010-1765-6439,b0darts77,naver.com,무교,154.44.15.17,4b:a8:a9:72:1d:82
9661,유택협,여성,153.9,54.0,B형,19610815,010-7951-4429,k3ptpd1,yahoo.com,불교,158.113.255.229,cd:09:18:fe:ff:64
9669,한종진,여성,162.9,60.2,O형,19640907,010-9153-3345,jug4ilkcuu,gmail.com,무교,27.102.246.77,ad:f3:90:97:7f:ac
9676,김준진,여성,163.2,56.4,AB형,19730625,010-9488-2574,r3mrx9a5fuyuo,gmail.com,불교,177.213.95.94,c0:06:c7:ab:b7:cb
9685,박용우,남성,169.7,69.8,O형,19520313,010-1519-2888,q1tvewhh5,naver.com,무교,15.150.133.102,c0:d4:84:ef:1e:b8
9717,김택상,남성,174.2,68.8,A형,19710519,010-6228-3473,me3jmk,naver.com,불교,113.95.203.229,9c:66:5b:05:01:8e
9737,한현은,남성,169.4,67.9,A형,19940113,010-5877-8447,wee52ryrvj,naver.com,무교,85.112.30.100,87:8e:0d:b4:d8:7f
9745,신희훈,여성,153.5,50.3,A형,19920102,010-4814-1123,aqmmv6l7cw,naver.com,불교,12.221.182.106,83:34:a7:19:62:3e
9750,류진정,여성,156.2,51.6,A형,19850630,010-2092-2917,zr3cyiifd,yahoo.com,무교,21.108.121.90,ab:9d:e6:51:e2:9e
9775,이덕준,여성,160.1,51.9,O형,19810915,010-2658-4614,fosfl8osu,daum.net,기독교,112.107.78.233,5b:d0:0f:83:78:44
9791,권현석,여성,143.1,47.5,A형,19690401,010-5358-2369,ghbzglzp0,naver.com,무교,33.166.252.55,48:a3:d5:68:5c:64
9793,추종훈,남성,163.7,66.4,AB형,19760105,010-2641-9629,mp9dorx0n,daum.net,무교,175.44.122.192,7a:5f:b3:14:2d:ae
9807,문정협,남성,172.2,71.6,B형,19840909,010-6408-7469,t5n7obeqs0r2a,gmail.com,불교,197.248.93.152,f2:8a:76:99:cd:04
9808,최현성,여성,157.2,57.6,O형,19890613,010-3839-2927,ifhlfz,gmail.com,무교,192.217.177.179,01:8a:d7:76:33:8e
9812,김협석,남성,175.4,62.5,AB형,19540528,010-6442-9842,f69oil1nquye,yahoo.com,불교,22.94.112.77,bd:38:70:f7:7d:01
9823,정준석,여성,150.9,49.0,A형,19920716,010-6250-4373,hozijotu6,naver.com,기독교,209.206.109.93,2a:df:27:3f:86:37
9827,강훈성,남성,169.9,69.8,AB형,19481202,010-4610-8812,mm1ffr1lpd,daum.net,기독교,5.183.49.60,82:13:65:12:b7:ee
9853,손상서,여성,156.5,49.3,O형,19860825,010-8758-1097,ahqaotj5,gmail.com,기독교,237.254.1.18,4e:7c:d0:a8:68:ec
9861,여준훈,남성,175.1,68.8,B형,19610629,010-6033-7845,h26bt9uhj9,gmail.com,기독교,99.208.17.162,be:97:c9:e6:28:37
9870,이성협,여성,153.0,55.8,A형,19810227,010-2158-6153,zvlhpjf6ogaa,naver.com,무교,47.102.189.66,e1:c4:1e:25:e8:c0
9889,강석현,남성,164.7,66.4,A형,19841117,010-2160-5158,ivc4qkxv2y,daum.net,불교,26.220.30.147,59:aa:e7:3a:6b:d8
9897,주훈덕,여성,160.2,50.5,O형,19570912,010-8121-2386,kn00pbvual,naver.com,불교,67.36.239.203,21:64:3e:eb:7c:d6
9902,송상훈,남성,161.6,66.1,A형,19530123,010-1976-4651,rqfiaw81,naver.com,무교,138.125.25.206,f9:f0:45:e2:fe:4f
9914,김진협,여성,157.0,53.0,A형,19770711,010-4199-5467,d5xw9izq6,daum.net,천주교,115.60.140.158,5a:d5:53:fd:94:d4
9915,윤상용,여성,156.2,52.0,A형,19910607,010-2474-8686,ht0ofcxwl8m,yahoo.com,기독교,87.157.121.253,01:e5:74:c9:4b:5d
9919,박협현,여성,150.0,49.8,B형,19670125,010-9859-6983,jnma2ynhwao,gmail.com,불교,188.78.50.33,96:ea:f4:f9:12:55
9920,김은덕,남성,168.9,67.4,O형,19840924,010-1787-9455,msh5b73pbza,yahoo.com,기독교,154.118.19.230,88:05:26:be:b8:12
9926,이서진,남성,169.6,69.6,B형,19770925,010-5255-5073,jix10o,yahoo.com,기독교,168.139.238.218,bb:d2:77:db:60:a6
9979,박우서,남성,166.1,64.4,B형,19660421,010-0381-3085,zsim9518pbboa,daum.net,무교,97.226.143.163,3f:07:69:9c:fd:ce
9998,최지용,여성,161.8,52.8,O형,19740312,010-9482-4861,duzgvg,daum.net,천주교,131.173.26.113,a9:aa:8c:45:a6:10
10003,유은준,여성,158.7,60.5,AB형,19840102,010-1532-4988,zs06dx7fubtx,naver.com,기독교,39.118.28.216,cf:a9:f3:6d:51:7d
10009,박희지,여성,151.7,60.1,AB형,19670824,010-3590-8577,ka03rnefx8,naver.com,무교,128.134.107.182,28:64:ff:26:04:10
10012,전준상,여성,141.6,61.9,A형,19700217,010-9393-4530,merbc9t4g8,daum.net,불교,213.49.118.26,eb:76:e1:cd:00:ff
10016,성용덕,여성,162.2,54.0,B형,19530316,010-2797-7528,e0i3ibea6kp,naver.com,불교,72.243.165.193,82:3d:72:69:45:41
10023,신훈현,여성,151.4,57.9,A형,19771208,010-2528-7313,uqvnbh8jdv8q,yahoo.com,무교,113.220.187.250,99:cf:6f:c9:b3:1b
10030,이우훈,여성,152.3,58.7,O형,19481221,010-2090-8420,iekeavf81,gmail.com,무교,8.74.250.155,89:17:37:5f:72:bb
10037,김현서,남성,175.2,64.3,O형,19750520,010-9194-9022,i1fyon0x62t,yahoo.com,불교,211.58.245.105,b8:2c:39:30:6b:28
10041,한용현,남성,164.7,61.6,O형,19740218,010-7378-6950,z8rsh8id,naver.com,불교,87.36.127.204,0e:e8:64:65:45:c2
10045,안석덕,여성,149.4,53.7,A형,19720214,010-1255-9048,rac3iobn5ar,yahoo.com,불교,140.160.160.224,a9:29:cc:92:0d:50
10063,최협은,여성,153.7,66.8,B형,19740504,010-0958-8610,pb8tbyhl2hy43,naver.com,무교,43.6.99.189,3d:70:58:6a:b2:25
10065,장지용,여성,151.8,58.4,O형,19660505,010-6376-4824,ip8tkhad,yahoo.com,천주교,185.171.20.228,f5:15:a9:f9:91:81
10068,이종훈,여성,155.8,60.8,O형,19640104,010-3035-5067,m8tcriemyr,naver.com,불교,86.220.98.182,53:34:37:1e:05:f0
10102,김영진,여성,154.1,52.5,A형,19790517,010-5321-1096,er1gbc,yahoo.com,기독교,82.194.112.138,f8:99:af:42:dd:5d
10107,차우남,남성,170.5,66.9,B형,19601231,010-3086-6899,z34fvvbc,naver.com,불교,205.63.123.75,09:46:53:01:95:aa
10147,박정서,남성,174.9,68.1,O형,19750501,010-0883-0130,z5rtkpo0,daum.net,기독교,141.192.129.181,93:9c:71:93:f3:64
10153,김진서,남성,165.1,67.8,B형,19801213,010-5463-3064,w0z5qxhubfmz2,gmail.com,천주교,155.82.171.234,32:8c:2e:26:c8:29
10159,황영상,남성,167.9,62.6,O형,19801109,010-9824-6533,mt97nn5j9k,yahoo.com,불교,153.150.161.75,bf:ad:39:26:e0:4c
10160,황진희,남성,176.4,60.9,O형,19830123,010-4526-5159,s0nkty6,gmail.com,불교,169.86.161.95,8e:c9:23:9b:b0:2e
10173,김협영,남성,170.0,72.8,B형,19940728,010-6270-0173,ewp3p1,gmail.com,기독교,36.20.150.119,66:0b:cf:81:53:e6
10174,최남종,여성,156.0,49.0,O형,19951105,010-3505-6293,yak2p0loezsx9,naver.com,무교,57.252.20.143,9b:1e:6b:c9:9e:40
10194,이석용,남성,169.7,68.8,B형,19581219,010-8079-0846,oevrcy5u,daum.net,기독교,87.129.175.169,63:42:6f:41:b9:7c
10195,박지석,여성,157.4,51.2,A형,19930718,010-7132-6486,u0c74chfn,daum.net,무교,124.191.37.141,e2:a1:67:fc:31:e1
10196,황훈지,여성,157.0,53.0,B형,19700604,010-6301-1491,m5ikno,daum.net,천주교,249.102.222.255,81:f3:b4:3e:c2:12
10229,류협희,여성,156.0,56.5,O형,19461002,010-0572-1169,b21sznqq,gmail.com,무교,159.46.50.160,f1:d3:53:e6:5d:0b
10241,이우석,남성,171.1,68.5,O형,19710416,010-9889-1033,ra9sai4i77kt,daum.net,기독교,35.45.45.202,02:28:6c:d0:66:56
10245,석덕택,여성,139.6,51.5,B형,19871206,010-1908-2165,sek8o3oag1w,daum.net,기독교,12.143.62.81,6b:39:11:46:5a:b5
10251,이은정,남성,171.9,63.8,A형,19890122,010-8879-3530,pz1mrxfr,yahoo.com,무교,79.191.108.1,fe:d3:03:39:d3:97
10252,최상종,여성,152.1,55.3,A형,19910629,010-2779-5802,mjqs3sbk,yahoo.com,무교,36.2.205.87,ee:77:60:6d:2d:8e
10255,이용남,남성,177.0,65.9,A형,19870325,010-2879-6386,b7su2ux,daum.net,불교,33.165.114.31,3a:64:14:35:e9:03
10260,장지상,남성,169.7,67.2,O형,19760314,010-5913-4652,ssavr9uf9jhx9,daum.net,천주교,138.107.157.242,28:00:f1:0c:10:fd
10263,고택종,남성,168.2,68.4,A형,19740520,010-1478-4849,sottcigni,naver.com,무교,153.171.48.34,69:3d:68:92:54:a0
10264,김협서,여성,155.9,52.1,O형,19710313,010-6776-6767,d1j3348,daum.net,무교,10.193.56.185,60:b9:3e:41:fe:af
10267,유상은,남성,170.6,63.8,O형,19760624,010-4190-0814,kp194vh2s,naver.com,불교,79.204.58.190,7a:20:c2:a8:45:6d
10281,오준훈,여성,150.9,55.3,A형,19521111,010-2657-0697,dfe5b3,naver.com,불교,139.90.125.197,97:21:ff:de:1d:84
10285,김용지,남성,172.2,58.5,B형,19921209,010-4687-0303,qf8sfqpn0g96,gmail.com,기독교,157.84.241.207,f9:b8:4f:92:c9:54
10293,김덕상,여성,152.3,57.6,A형,19560113,010-3144-2142,k6ymdcmi06wml,gmail.com,불교,190.215.66.245,ee:ea:c6:e7:33:f9
10294,이용종,남성,169.3,64.4,A형,19551101,010-2032-7286,m64cwpwav68j1,yahoo.com,무교,59.227.178.23,cd:6c:d8:d4:21:19
10317,이준현,남성,169.5,57.8,O형,19900405,010-7604-4974,s3ayr6kgsoy88,daum.net,기독교,219.66.84.229,0d:34:ae:9f:1a:c7
10325,류덕은,남성,169.4,60.0,B형,19710914,010-6360-1350,ha7us854s0,naver.com,무교,60.59.121.136,8a:49:d6:6c:1f:3c
10327,박종훈,남성,171.6,61.4,O형,19501218,010-5339-2947,j9keq72y,naver.com,무교,239.29.142.151,90:72:cb:45:3d:fd
10330,장현정,여성,157.6,56.1,O형,19760304,010-8967-5245,vacp5rn9s,naver.com,무교,236.190.117.238,c9:7c:74:fe:10:4e
10335,김서훈,남성,162.8,71.3,O형,19541028,010-6402-7720,ezynef1,naver.com,무교,139.197.207.158,47:ff:5a:b0:a7:55
10339,이우택,여성,152.5,53.7,B형,19930702,010-3173-5806,ix5sbp06,naver.com,무교,76.198.120.97,d1:c5:9d:16:21:4d
10352,문훈정,남성,156.7,68.1,A형,19670405,010-5645-2856,h4a4nf4,gmail.com,무교,226.165.4.250,8f:72:a5:8a:36:21
10354,박진종,남성,161.5,71.3,A형,19800822,010-9894-6397,aor7ltksgz,daum.net,무교,170.26.219.159,27:ed:dd:86:4a:49
10355,한상서,여성,166.8,55.2,O형,19510119,010-3541-9775,kjrdvfbyn7,daum.net,기독교,50.206.136.155,52:b3:6d:82:1a:5c
10368,장성희,여성,140.8,57.7,B형,19640531,010-5527-0080,l5jwlrk7gkxu5,gmail.com,무교,174.194.71.47,e3:bc:64:f9:54:f2
10369,주훈석,여성,159.7,48.4,A형,19520915,010-1206-1914,m0gin2,naver.com,기독교,123.34.117.130,a8:6a:aa:05:a2:c7
10380,정현준,남성,168.4,58.7,A형,19690217,010-2975-9109,r0vz7bwqjev,yahoo.com,무교,237.67.102.237,3e:6c:0c:14:c3:01
10389,이지서,남성,166.4,67.7,B형,19690922,010-0411-4079,h566zm,naver.com,무교,158.126.27.57,53:ab:25:99:54:d7
10391,손은지,여성,152.3,52.5,B형,19880313,010-3673-2896,yn7xxw9,yahoo.com,불교,10.17.91.151,07:bd:16:d7:a7:58
10413,김지상,여성,162.4,58.2,A형,19680527,010-9929-2705,v5de7bvnxa,daum.net,무교,84.118.124.161,2d:ba:d8:ad:25:e6
10416,차석정,여성,149.7,55.9,A형,19570209,010-2820-4785,ryf3ys8c0c,naver.com,무교,127.15.3.82,21:52:fd:69:a3:d8
10417,박용훈,남성,171.6,60.6,AB형,19961112,010-0536-8185,xjfcy3z,gmail.com,기독교,85.108.129.193,76:9f:86:c9:07:d2
10418,황서택,여성,157.7,57.2,A형,19470702,010-1064-3192,ue8jvzb,gmail.com,기독교,213.131.219.249,8c:21:0e:96:41:1f
10441,김종택,남성,172.8,62.0,A형,19540320,010-2291-8614,qw4dgy0,yahoo.com,기독교,221.252.221.237,5b:a5:0e:2c:b9:e3
10451,윤성서,남성,166.4,64.1,O형,19750423,010-5508-2683,v56zv9kh,naver.com,불교,153.69.112.160,cc:b7:02:a8:77:57
10459,정서은,남성,176.4,63.5,O형,19501129,010-7876-7971,v0kmm1s017tg2,naver.com,기독교,228.182.47.190,6c:34:b3:5a:2a:c9
10468,김준남,여성,155.4,43.7,O형,19820416,010-9060-0178,sozlmdnj4,gmail.com,무교,176.183.162.2,8f:1d:04:f0:a9:cf
10474,김덕진,여성,147.6,60.4,B형,19531217,010-0246-4683,cgy3a5z8lc9c,daum.net,불교,100.12.207.7,79:aa:bf:79:ca:2f
10482,염지협,남성,162.5,70.4,A형,19691031,010-9414-5907,nllr60r,yahoo.com,무교,254.201.236.254,5c:5e:70:b5:03:4e
10491,박준상,여성,154.5,58.3,A형,19911209,010-4962-3004,iie7h3,gmail.com,무교,65.249.140.196,19:2c:6c:38:c7:54
10516,유훈현,여성,154.7,51.7,AB형,19610928,010-6018-2489,zfzj8k2,naver.com,무교,83.185.87.51,2a:d9:e3:6f:f3:c1
10520,차준지,남성,164.1,65.1,B형,19780331,010-6058-8594,cru8s7z84c,naver.com,불교,57.200.4.101,37:7a:e7:c7:3e:c5
10521,강훈영,남성,166.7,59.5,A형,19700714,010-4884-7685,xd488qypq6rd,gmail.com,기독교,76.200.232.113,2d:4a:4d:5e:13:a4
10522,김용정,여성,154.5,57.0,O형,19501226,010-3006-9283,cwqj10,yahoo.com,무교,208.215.249.20,fc:db:36:2f:1b:8b
10532,이준종,여성,156.5,59.0,AB형,19850311,010-4354-8386,lpbcplwmtm1,gmail.com,기독교,220.56.11.48,43:85:8c:59:c4:a1
10561,배우훈,여성,155.4,58.2,O형,19791128,010-6686-5963,s40kit78wufm,yahoo.com,기독교,120.172.53.107,1a:98:21:1a:0a:20
10569,김준석,여성,151.0,50.6,B형,19680828,010-2564-3492,coe790o4ugd3,gmail.com,천주교,96.252.148.79,fd:9d:97:4c:99:1f
10570,정지남,남성,174.3,69.0,A형,19640325,010-9628-0279,ursyoog,yahoo.com,무교,58.61.34.185,c6:69:88:74:2a:b9
10575,김상지,남성,176.2,73.4,O형,19560817,010-6194-3759,fwislk2um,daum.net,불교,246.5.236.18,51:27:ef:f0:4b:5b
10586,원훈영,여성,150.5,56.7,A형,19571021,010-1250-1615,zzdela,naver.com,무교,208.204.83.80,1c:4f:00:44:2c:36
10605,정훈준,여성,146.7,62.3,B형,19731221,010-2045-4296,w5wpweywerg1,daum.net,불교,30.163.64.10,2e:0e:45:eb:f6:3a
10620,김성용,여성,154.7,54.4,AB형,19570728,010-3367-2593,mdzbc94j5,daum.net,천주교,179.117.62.216,2c:dd:2c:47:17:c9
10651,박준훈,여성,154.2,57.9,O형,19871018,010-0785-9942,oqhs61fjlob03,daum.net,불교,218.150.204.127,cf:17:99:09:4d:96
10654,김훈성,남성,169.0,70.7,A형,19780802,010-5511-4285,htimkp0rofyf,gmail.com,기독교,204.156.253.158,4d:ec:a9:98:0c:a3
10657,박준지,남성,163.3,66.6,A형,19770413,010-2376-8524,w3a1b83nai,yahoo.com,천주교,94.49.167.240,2f:ee:3c:85:3b:33
10688,박현협,여성,151.8,55.9,B형,19720417,010-0139-2489,uau6n76mj47,daum.net,무교,55.33.166.203,58:8d:cd:6f:d4:77
10692,임지진,남성,176.8,69.4,O형,19881116,010-6436-1568,o5prtf03da3o,gmail.com,기독교,229.130.116.244,a6:82:10:3c:67:a5
10693,이영준,남성,177.2,62.4,AB형,19891107,010-4934-7819,qer5soc0xkk,gmail.com,무교,104.143.224.254,6d:3b:b3:51:ea:87
10695,오준서,여성,154.7,60.6,AB형,19830612,010-7675-2705,a81w7x0,naver.com,무교,176.195.5.14,46:87:3e:b4:90:50
10701,박훈서,남성,173.9,65.4,B형,19651112,010-9749-9320,j7awcnzvxnp,naver.com,무교,212.172.192.178,4c:aa:d3:ec:e1:49
10708,탁성영,여성,160.9,55.3,A형,19540528,010-5972-2271,hbti7ix7,daum.net,무교,196.83.178.115,b0:d0:25:29:b9:2f
10723,이덕성,남성,177.8,69.2,B형,19830112,010-5360-1511,n5cesno1z61,naver.com,불교,99.130.54.108,40:0e:2d:84:20:c8
10745,최상석,여성,160.4,53.3,B형,19610619,010-7797-1595,zxaynrwx,naver.com,기독교,87.78.78.61,18:1a:6d:21:e1:d5
10750,이은준,여성,152.7,59.9,O형,19580715,010-3726-7713,n6jukkpre,naver.com,무교,25.10.158.2,83:22:4d:4a:fd:c3
10759,최정준,여성,158.8,59.9,AB형,19650108,010-1402-4863,bx798725z7y59,naver.com,기독교,153.26.198.105,de:5c:75:b3:76:45
10766,최준지,여성,154.0,56.3,A형,19600708,010-1893-3633,fe38n7pf6yo,yahoo.com,무교,54.217.191.77,87:af:e5:08:27:87
10780,류희서,여성,158.9,52.7,O형,19830604,010-2965-8307,smmaxcpu2,yahoo.com,무교,255.156.140.165,39:45:19:d8:1e:dc
10785,이진지,남성,169.2,69.3,A형,19710831,010-2087-9084,gwkfy5bx2ubj9,daum.net,기독교,233.84.132.9,25:b3:66:79:b3:d7
10803,고용희,여성,162.0,55.2,O형,19871015,010-0913-3656,adhetjacc,naver.com,천주교,253.236.48.39,ee:09:98:f8:50:22
10823,여남석,남성,174.0,69.6,O형,19931221,010-2600-4226,t78ov6z,naver.com,무교,46.162.217.123,ee:62:6d:32:a7:89
10838,이덕성,남성,167.1,65.2,B형,19910924,010-7781-4871,mz7sc9d8loiio,gmail.com,무교,72.66.59.93,8a:4e:4e:00:7d:13
10848,임성지,여성,161.6,58.3,O형,19711107,010-0373-3654,lzynt7dwbwy,daum.net,무교,150.244.121.217,b6:1c:ca:d4:14:5a
10857,박정서,남성,171.7,63.4,AB형,19571024,010-0712-8496,jya82z,daum.net,기독교,3.240.229.106,f2:cd:82:f4:a4:3b
10865,최지용,여성,152.7,57.6,B형,19640916,010-6224-8962,g6az265tza,daum.net,불교,124.175.190.73,5a:92:1a:06:0c:02
10879,서용석,남성,171.9,66.7,B형,19750524,010-4566-2341,bycxmy3,naver.com,무교,72.112.192.13,ff:37:6e:86:50:09
10881,장준영,여성,157.7,59.3,A형,19610708,010-9281-9213,ldvng0txa,daum.net,무교,36.21.137.104,23:37:ea:ba:23:d1
10890,고종우,여성,153.0,57.5,O형,19621112,010-0970-5462,acciy7xpus,yahoo.com,불교,167.227.221.171,bd:49:0c:c5:ea:f6
10952,전종현,남성,174.1,73.4,A형,19530826,010-7034-2669,lsqutn8ox,daum.net,무교,181.77.29.148,fb:8c:a4:49:0c:7e
10973,구은성,여성,161.5,57.0,O형,19711202,010-3406-5201,ckhkwfyo6hd,gmail.com,무교,47.23.200.250,55:35:03:8c:f8:bb
