['6890', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1946****', '*************', '*************', 'gmail.com', '무교', '그리스도대학교', '법학', '3.27']
=> ['35956', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1960****', '*************', '*************', 'yahoo.com', '무교', '우리은행', '8321-564-725740', '2']: 9.875
=> ['43900', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1960****', '*************', '*************', 'yahoo.com', '무교', '국민은행', '585071-41-783297', '8']: 9.875

['78211', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1967****', '*************', '*************', 'daum.net', '불교', 'KAIST', '의학', '0.13']
=> ['70019', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1978****', '*************', '*************', 'daum.net', '불교', '외환은행', '345-972892-811', '5']: 9.75

['81935', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1967****', '*************', '*************', 'gmail.com', '천주교', '명지대학교', '공학', '0.83']
=> ['22995', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'gmail.com', '천주교', '수협중앙회', '9997-7301-1439', '8']: 9.25

['59366', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1967****', '*************', '*************', 'yahoo.com', '무교', '장로회신학대학교', '공학', '4.04']
=> ['68780', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1947****', '*************', '*************', 'yahoo.com', '무교', '외환은행', '103-590032-253', '8']: 9.875

['69411', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1967****', '*************', '*************', 'naver.com', '무교', '중앙대학교', '예체능', '2.4']
=> ['28967', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1960****', '*************', '*************', 'naver.com', '무교', '수협중앙회', '5474-0003-8340', '1']: 9.875
=> ['282', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1977****', '*************', '*************', 'yahoo.com', '무교', '신한은행', '476-675-737127', '4']: 9.875
=> ['63006', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1987****', '*************', '*************', 'naver.com', '불교', '국민은행', '039637-48-353663', '4']: 9.875
=> ['13807', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1969****', '*************', '*************', 'yahoo.com', '무교', '기업은행', '654-442364-14-224', '1']: 9.875

['81664', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1967****', '*************', '*************', 'yahoo.com', '무교', '한양대학교', '사회', '0.69']
=> ['56610', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1987****', '*************', '*************', 'naver.com', '무교', '한국씨티은행', '104-568895-617', '5']: 9.875
=> ['13807', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1969****', '*************', '*************', 'yahoo.com', '무교', '기업은행', '654-442364-14-224', '1']: 9.875

['83435', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1967****', '*************', '*************', 'yahoo.com', '천주교', '가톨릭대학교', '사회', '3.67']
=> ['31924', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'daum.net', '불교', '하나은행', '406-972982-94401', '6']: 9.75
=> ['41010', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'yahoo.com', '천주교', '기업은행', '517-329651-08-973', '8']: 9.75
=> ['34918', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1974****', '*************', '*************', 'naver.com', '무교', '국민은행', '045244-29-369692', '7']: 9.75
=> ['6517', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1971****', '*************', '*************', 'gmail.com', '기독교', '스탠다드(제일)', '837-06-305311', '4']: 9.75

['86363', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'yahoo.com', '기독교', '총신대학교', '예체능', '0.09']
=> ['24630', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1982****', '*************', '*************', 'gmail.com', '기독교', '한국씨티은행', '148-208404-675', '1']: 9.75
=> ['27627', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1953****', '*************', '*************', 'daum.net', '무교', '외환은행', '319-277083-100', '1']: 9.75
=> ['64937', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'yahoo.com', '기독교', '외환은행', '475-835366-501', '3']: 9.75

['8273', '서**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1967****', '*************', '*************', 'naver.com', '기독교', '연세대학교', '자연', '3.98']
=> ['97008', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1965****', '*************', '*************', 'gmail.com', '불교', '스탠다드(제일)', '409-92-539260', '8']: 9.5417
=> ['59149', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1963****', '*************', '*************', 'naver.com', '무교', '신한은행', '212-861-782320', '1']: 9.5417
=> ['15064', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1961****', '*************', '*************', 'gmail.com', '불교', 'NH농협', '815-2261-759-98', '5']: 9.5417
=> ['31651', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1960****', '*************', '*************', 'gmail.com', '무교', '스탠다드(제일)', '797-88-791471', '4']: 9.5417
=> ['26908', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1969****', '*************', '*************', 'naver.com', '무교', '우리은행', '9714-289-743442', '3']: 9.5417
=> ['77109', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1962****', '*************', '*************', 'yahoo.com', '불교', '국민은행', '120788-89-492715', '4']: 9.5417
=> ['44987', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'naver.com', '기독교', '우리은행', '8177-273-489237', '7']: 9.5417

['34212', '서**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'gmail.com', '불교', '그리스도대학교', '자연', '4.13']
=> ['94305', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1966****', '*************', '*************', 'yahoo.com', '불교', '스탠다드(제일)', '304-76-169712', '7']: 9.5417
=> ['7379', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1987****', '*************', '*************', 'naver.com', '무교', 'NH농협', '128-2405-117-31', '1']: 9.5417
=> ['47271', '류**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'daum.net', '불교', '우리은행', '3549-256-343327', '9']: 9.5417
=> ['15064', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1961****', '*************', '*************', 'gmail.com', '불교', 'NH농협', '815-2261-759-98', '5']: 9.5417
=> ['34293', '박**', '남성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1964****', '*************', '*************', 'naver.com', '기독교', '국민은행', '604940-34-329571', '4']: 9.5417

['83818', '서**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'yahoo.com', '무교', '동덕여자대학교', '사회', '2.59']
=> ['73628', '강**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'yahoo.com', '무교', '새마을금고', '9-59581136581-6', '3']: 9.6667
=> ['62642', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'daum.net', '기독교', '수협중앙회', '2962-5724-1265', '1']: 9.6667

['168', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1967****', '*************', '*************', 'naver.com', '기독교', '한국외국어대학교', '공학', '2.75']
=> ['20903', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1961****', '*************', '*************', 'naver.com', '기독교', '기업은행', '591-365960-33-662', '5']: 9.875

['334', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1967****', '*************', '*************', 'naver.com', '무교', '서강대학교', '공학', '0.65']
=> ['7748', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1961****', '*************', '*************', 'naver.com', '무교', '새마을금고', '1-20778839867-1', '5']: 9.875
=> ['71139', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1987****', '*************', '*************', 'gmail.com', '기독교', '국민은행', '663680-55-426594', '8']: 9.875
=> ['42800', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1966****', '*************', '*************', 'yahoo.com', '불교', '우리은행', '7420-653-070128', '5']: 9.875

['15354', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'yahoo.com', '불교', '이화여자대학', '공학', '0.11']
=> ['35001', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1957****', '*************', '*************', 'yahoo.com', '불교', 'NH농협', '247-2379-154-22', '9']: 9.875
=> ['14188', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1960****', '*************', '*************', 'yahoo.com', '무교', 'NH농협', '783-7389-432-89', '9']: 9.875
=> ['17361', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1960****', '*************', '*************', 'yahoo.com', '불교', '한국씨티은행', '805-996980-593', '6']: 9.875

['31429', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'yahoo.com', '불교', '한국예술종합학교', '사회', '3.8']
=> ['35001', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1957****', '*************', '*************', 'yahoo.com', '불교', 'NH농협', '247-2379-154-22', '9']: 9.875
=> ['14188', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1960****', '*************', '*************', 'yahoo.com', '무교', 'NH농협', '783-7389-432-89', '9']: 9.875
=> ['17361', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1960****', '*************', '*************', 'yahoo.com', '불교', '한국씨티은행', '805-996980-593', '6']: 9.875

['35599', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1967****', '*************', '*************', 'yahoo.com', '무교', '한성대학교', '인문', '0.27']
=> ['54432', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1977****', '*************', '*************', 'naver.com', '기독교', '스탠다드(제일)', '023-76-027728', '5']: 9.875
=> ['14045', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1961****', '*************', '*************', 'yahoo.com', '무교', '새마을금고', '5-71031063710-8', '2']: 9.875
=> ['7024', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'daum.net', '무교', '외환은행', '067-039923-871', '6']: 9.875

['38346', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'yahoo.com', '무교', '서울기독대학교', '인문', '1.93']
=> ['84389', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'yahoo.com', '무교', '국민은행', '906513-92-599671', '4']: 10.0

['43789', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'gmail.com', '기독교', '한성대학교', '의학', '0.57']
=> ['89357', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1951****', '*************', '*************', 'naver.com', '기독교', '신한은행', '380-613-688040', '4']: 9.75
=> ['34456', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1958****', '*************', '*************', 'yahoo.com', '불교', '우리은행', '6646-356-021658', '8']: 9.75
=> ['80742', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1996****', '*************', '*************', 'naver.com', '기독교', '스탠다드(제일)', '461-78-806498', '5']: 9.75
=> ['78213', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1988****', '*************', '*************', 'yahoo.com', '불교', '하나은행', '712-353474-66460', '7']: 9.75
=> ['27012', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1996****', '*************', '*************', 'yahoo.com', '무교', '하나은행', '147-614733-84986', '1']: 9.75
=> ['13990', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1951****', '*************', '*************', 'gmail.com', '기독교', '한국씨티은행', '345-817638-851', '7']: 9.75
=> ['99394', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1953****', '*************', '*************', 'yahoo.com', '불교', '하나은행', '113-083607-17869', '7']: 9.75

['85578', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'daum.net', '불교', '한성대학교', '교육', '2.75']
=> ['75554', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1987****', '*************', '*************', 'daum.net', '불교', '스탠다드(제일)', '723-66-255024', '8']: 9.875

['95308', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1967****', '*************', '*************', 'yahoo.com', '무교', '서울과학기술대학교', '교육', '2.35']
=> ['64690', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1966****', '*************', '*************', 'yahoo.com', '무교', '기업은행', '734-682433-86-542', '4']: 9.875

['14002', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1967****', '*************', '*************', 'daum.net', '무교', '추계예술대학교', '교육', '0.27']
=> ['11461', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1968****', '*************', '*************', 'daum.net', '불교', '스탠다드(제일)', '815-82-500269', '5']: 9.875
=> ['48001', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1961****', '*************', '*************', 'daum.net', '무교', '신한은행', '162-250-499854', '7']: 9.875

['33554', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1967****', '*************', '*************', 'daum.net', '천주교', '서울기독대학교', '교육', '3.18']
=> ['61142', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1963****', '*************', '*************', 'yahoo.com', '무교', '외환은행', '705-898072-520', '1']: 9.5417
=> ['66973', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'daum.net', '천주교', '신한은행', '015-415-846395', '1']: 9.5417

['91623', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1967****', '*************', '*************', 'gmail.com', '무교', '서울시립대학교', '법학', '1.88']
=> ['63405', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1990****', '*************', '*************', 'gmail.com', '무교', '우리은행', '0752-458-622188', '4']: 9.75

['22251', '한**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1967****', '*************', '*************', 'naver.com', '무교', '한양대학교', '의학', '0.45']
=> ['61129', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1957****', '*************', '*************', 'daum.net', '무교', '스탠다드(제일)', '659-13-224904', '3']: 9.5417
=> ['91755', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1977****', '*************', '*************', 'yahoo.com', '기독교', '외환은행', '083-146357-319', '5']: 9.5417
=> ['71590', '조**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1961****', '*************', '*************', 'gmail.com', '천주교', '외환은행', '544-218986-095', '3']: 9.5417
=> ['11683', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'daum.net', '무교', '신한은행', '444-518-141287', '6']: 9.5417
=> ['7024', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'daum.net', '무교', '외환은행', '067-039923-871', '6']: 9.5417
=> ['42398', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1947****', '*************', '*************', 'naver.com', '무교', '국민은행', '762357-11-142868', '6']: 9.5417

['42170', '한**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1967****', '*************', '*************', 'daum.net', '불교', '서울시립대학교', '자연', '3.83']
=> ['61885', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1968****', '*************', '*************', 'daum.net', '무교', 'NH농협', '556-6282-979-29', '2']: 9.5417
=> ['43399', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1962****', '*************', '*************', 'naver.com', '무교', '기업은행', '291-541122-55-442', '2']: 9.5417
=> ['27187', '조**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1961****', '*************', '*************', 'daum.net', '불교', '한국씨티은행', '813-323756-905', '2']: 9.5417
=> ['40639', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1965****', '*************', '*************', 'daum.net', '기독교', 'NH농협', '535-3350-917-45', '2']: 9.5417
=> ['33263', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1969****', '*************', '*************', 'daum.net', '무교', '기업은행', '471-911119-92-607', '5']: 9.5417
=> ['37485', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'naver.com', '무교', 'NH농협', '590-3839-589-53', '1']: 9.5417

['67181', '한**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1967****', '*************', '*************', 'yahoo.com', '무교', '연세대학교', '의학', '4.1']
=> ['37294', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1964****', '*************', '*************', 'yahoo.com', '무교', '수협중앙회', '9530-8025-6615', '4']: 9.5417
=> ['36089', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1987****', '*************', '*************', 'naver.com', '무교', '우리은행', '4725-759-058399', '8']: 9.5417
=> ['38070', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1969****', '*************', '*************', 'yahoo.com', '무교', '외환은행', '846-710057-641', '6']: 9.5417

['30817', '황**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1967****', '*************', '*************', 'daum.net', '무교', '삼육대학교', '교육', '2.91']
=> ['6576', '이**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1976****', '*************', '*************', 'gmail.com', '기독교', 'NH농협', '229-7085-492-78', '5']: 9.5417
=> ['54297', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1964****', '*************', '*************', 'daum.net', '무교', '국민은행', '481812-99-299153', '9']: 9.5417
=> ['52725', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1969****', '*************', '*************', 'naver.com', '불교', '외환은행', '442-861693-981', '3']: 9.5417
=> ['81460', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1947****', '*************', '*************', 'daum.net', '무교', '한국씨티은행', '147-558284-640', '9']: 9.5417
=> ['77176', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'O형', '1966****', '*************', '*************', 'gmail.com', '무교', '스탠다드(제일)', '439-49-717301', '2']: 9.5417
=> ['98052', '류**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'gmail.com', '무교', 'NH농협', '458-6599-668-59', '7']: 9.5417
=> ['26033', '장**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1962****', '*************', '*************', 'yahoo.com', '기독교', '기업은행', '328-458769-70-311', '7']: 9.5417
=> ['77036', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1964****', '*************', '*************', 'daum.net', '기독교', '하나은행', '929-215006-79357', '1']: 9.5417
=> ['46074', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1964****', '*************', '*************', 'gmail.com', '불교', '한국씨티은행', '070-942420-552', '7']: 9.5417
=> ['55584', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1969****', '*************', '*************', 'naver.com', '기독교', 'NH농협', '719-1685-662-65', '3']: 9.5417
=> ['9519', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1965****', '*************', '*************', 'naver.com', '불교', '한국씨티은행', '148-837596-965', '6']: 9.5417
=> ['34999', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'naver.com', '불교', '새마을금고', '6-55232320584-1', '5']: 9.5417
=> ['96238', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1969****', '*************', '*************', 'daum.net', '무교', '하나은행', '206-327361-79517', '3']: 9.5417

['41157', '황**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'yahoo.com', '불교', 'KAIST', '자연', '1.74']
=> ['79275', '황**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1989****', '*************', '*************', 'yahoo.com', '불교', '신한은행', '387-600-175137', '3']: 9.75

['48703', '황**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1967****', '*************', '*************', 'daum.net', '불교', '가톨릭대학교', '사회', '4.05']
=> ['79980', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'daum.net', '불교', '기업은행', '857-049976-87-499', '1']: 9.5417
=> ['5559', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1965****', '*************', '*************', 'gmail.com', '기독교', '스탠다드(제일)', '541-62-132755', '7']: 9.5417
=> ['95410', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1964****', '*************', '*************', 'daum.net', '불교', '우리은행', '5825-740-579993', '8']: 9.5417
=> ['47752', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1969****', '*************', '*************', 'yahoo.com', '기독교', '새마을금고', '6-26479539477-3', '4']: 9.5417

['4233', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'daum.net', '무교', '서울기독대학교', '공학', '4.03']
=> ['4233', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'daum.net', '무교', '하나은행', '386-564859-63683', '4']: 10.0

['15129', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'yahoo.com', '불교', '한성대학교', '자연', '3.67']
=> ['78620', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1965****', '*************', '*************', 'yahoo.com', '불교', 'NH농협', '052-8543-185-62', '6']: 9.875
=> ['27252', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1988****', '*************', '*************', 'gmail.com', '기독교', '새마을금고', '8-99782970154-3', '7']: 9.875

['19090', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'yahoo.com', '기독교', '그리스도대학교', '예체능', '3.74']
=> ['95410', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1964****', '*************', '*************', 'daum.net', '불교', '우리은행', '5825-740-579993', '8']: 9.875
=> ['41375', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1961****', '*************', '*************', 'gmail.com', '기독교', '하나은행', '425-699770-05955', '2']: 9.875
=> ['73930', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'yahoo.com', '기독교', 'NH농협', '231-5003-365-31', '8']: 9.875

['26986', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'naver.com', '불교', '한국외국어대학교', '교육', '1.15']
=> ['34999', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'naver.com', '불교', '새마을금고', '6-55232320584-1', '5']: 10.0

['36366', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'yahoo.com', '무교', '서울과학기술대학교', '예체능', '0.04']
=> ['36366', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'yahoo.com', '무교', '스탠다드(제일)', '662-81-485450', '7']: 10.0

['42432', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1968****', '*************', '*************', 'yahoo.com', '기독교', '중앙대학교', '법학', '4.02']
=> ['63030', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1962****', '*************', '*************', 'yahoo.com', '기독교', '우리은행', '0224-617-602858', '7']: 9.875
=> ['87041', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1966****', '*************', '*************', 'daum.net', '불교', '새마을금고', '7-96596579683-1', '1']: 9.875
=> ['47389', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1988****', '*************', '*************', 'daum.net', '무교', '한국씨티은행', '765-906856-576', '2']: 9.875

['53009', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1968****', '*************', '*************', 'gmail.com', '기독교', '서울여자대학교', '예체능', '2.86']
=> ['78794', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1969****', '*************', '*************', 'yahoo.com', '천주교', '국민은행', '450327-07-905472', '9']: 9.875
=> ['85783', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1963****', '*************', '*************', 'daum.net', '불교', '우리은행', '4439-842-444697', '6']: 9.875
=> ['98456', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1977****', '*************', '*************', 'yahoo.com', '불교', '우리은행', '5362-149-536814', '4']: 9.875
=> ['36524', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1969****', '*************', '*************', 'naver.com', '무교', '신한은행', '786-274-830225', '9']: 9.875
=> ['83337', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1958****', '*************', '*************', 'gmail.com', '기독교', '기업은행', '951-634059-40-582', '1']: 9.875

['59696', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1968****', '*************', '*************', 'naver.com', '무교', '한양대학교', '의학', '2.13']
=> ['98616', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'O형', '1961****', '*************', '*************', 'naver.com', '기독교', 'NH농협', '846-8180-610-80', '1']: 9.875
=> ['11152', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1963****', '*************', '*************', 'yahoo.com', '무교', 'NH농협', '406-0981-929-21', '3']: 9.875
=> ['19356', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1962****', '*************', '*************', 'yahoo.com', '무교', '수협중앙회', '9716-6746-6098', '3']: 9.875
=> ['38255', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1963****', '*************', '*************', 'naver.com', '무교', '국민은행', '386442-81-983513', '6']: 9.875
=> ['80675', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1962****', '*************', '*************', 'gmail.com', '불교', '하나은행', '716-887847-08187', '3']: 9.875
